dataset_id,condition_id,n_rows,n_participants,n_items,n_test_talkers
AN19,AN19.Control.test_Korean,960,20,92,12
AN19,AN19.Control.test_Spanish,960,20,92,12
AN19,AN19.Korean.test_Korean,960,20,92,12
AN19,AN19.Korean.test_Spanish,960,20,92,12
AN19,AN19.Mixed.test_Korean,960,20,92,12
AN19,AN19.Mixed.test_Spanish,960,20,92,12
AN19,AN19.Spanish.test_Korean,960,20,92,12
AN19,AN19.Spanish.test_Spanish,960,20,92,12
X21,X21.Control,4117,80,412,4
X21,X21.Multi_talker,4120,80,412,4
X21,X21.Single_talker,4120,80,412,4
X21,X21.Talker_specific,4120,80,412,4
B23,B23.a_control,1620,27,60,4
B23,B23.b_BRP,1260,21,60,4
B23,B23.b_FAR,1260,21,60,4
B23,B23.b_SPA,1320,22,60,4
B23,B23.b_TUR,1200,20,60,4
B23,B23.c_noBRP,1320,22,60,4
B23,B23.c_noFAR,1200,20,60,4
B23,B23.c_noSPA,1260,21,60,4
B23,B23.c_noTUR,1260,21,60,4
