tau,status,file,wall_seconds
0.5,complete,tau_000_fits.csv,183.3179998
1.125,complete,tau_005_fits.csv,183.63172169999999
0.875,complete,tau_003_fits.csv,184.4224122
0.625,complete,tau_001_fits.csv,184.64620739999998
1.0,complete,tau_004_fits.csv,185.5182479
1.625,complete,tau_009_fits.csv,186.5763048
1.25,complete,tau_006_fits.csv,187.3560823
0.75,complete,tau_002_fits.csv,187.6692542
1.75,complete,tau_010_fits.csv,188.1582067
2.375,complete,tau_015_fits.csv,188.42980379999997
1.375,complete,tau_007_fits.csv,188.7769796
1.875,complete,tau_011_fits.csv,188.8379118
2.25,complete,tau_014_fits.csv,189.63451360000002
1.5,complete,tau_008_fits.csv,190.1221837
2.0,complete,tau_012_fits.csv,190.76879830000001
2.125,complete,tau_013_fits.csv,195.9395479
2.5,complete,tau_016_fits.csv,183.96428640000002
2.75,complete,tau_018_fits.csv,183.22361700000002
2.875,complete,tau_019_fits.csv,185.0641014
2.625,complete,tau_017_fits.csv,186.2864708
3.125,complete,tau_021_fits.csv,184.7027584
3.75,complete,tau_026_fits.csv,182.83714380000004
3.5,complete,tau_024_fits.csv,183.7746437
3.375,complete,tau_023_fits.csv,185.84015440000002
3.625,complete,tau_025_fits.csv,185.6510218
3.0,complete,tau_020_fits.csv,188.8067907
4.0,complete,tau_028_fits.csv,185.5681228
3.25,complete,tau_022_fits.csv,188.73874130000002
3.875,complete,tau_027_fits.csv,187.4464424
