dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
X21,tr_24::between_type_phoneme,oof_all,,M_condition,16477,16477,8027.88524108321,0.48721765133721
X21,tr_24::between_type_phoneme,oof_all,,M_joint,16477,16477,8029.9005194599,0.487339959911385
X21,tr_24::between_type_phoneme,oof_all,,M_null,16477,16477,8139.28269560053,0.493978436341599
X21,tr_24::between_type_phoneme,oof_all,,M_predictor,16477,16477,8135.19790937395,0.493730527970744
X21,tr_24::between_type_phoneme,oof_fold,0.0,M_condition,5508,5508,2388.44811286087,0.433632554985634
X21,tr_24::between_type_phoneme,oof_fold,0.0,M_joint,5508,5508,2389.12092500224,0.43375470679053
X21,tr_24::between_type_phoneme,oof_fold,0.0,M_null,5508,5508,2416.99829715835,0.438815958089752
X21,tr_24::between_type_phoneme,oof_fold,0.0,M_predictor,5508,5508,2414.01316001354,0.438273994192728
X21,tr_24::between_type_phoneme,oof_fold,1.0,M_condition,5503,5503,2855.26405460675,0.518855906706659
X21,tr_24::between_type_phoneme,oof_fold,1.0,M_joint,5503,5503,2856.89107156237,0.51915156670223
X21,tr_24::between_type_phoneme,oof_fold,1.0,M_null,5503,5503,2896.37426348297,0.526326415315823
X21,tr_24::between_type_phoneme,oof_fold,1.0,M_predictor,5503,5503,2892.42004876688,0.525607859125364
X21,tr_24::between_type_phoneme,oof_fold,2.0,M_condition,5466,5466,2784.17307361559,0.509362069816244
X21,tr_24::between_type_phoneme,oof_fold,2.0,M_joint,5466,5466,2783.88852289529,0.509310011506639
X21,tr_24::between_type_phoneme,oof_fold,2.0,M_null,5466,5466,2825.9101349592,0.516997829300989
X21,tr_24::between_type_phoneme,oof_fold,2.0,M_predictor,5466,5466,2828.76470059353,0.517520069629258
X21,tr_24::between_type_sentence,oof_all,,M_condition,16477,16477,8027.88524108321,0.48721765133721
X21,tr_24::between_type_sentence,oof_all,,M_joint,16477,16477,8021.90689986548,0.48685482186475
X21,tr_24::between_type_sentence,oof_all,,M_null,16477,16477,8139.28269560053,0.493978436341599
X21,tr_24::between_type_sentence,oof_all,,M_predictor,16477,16477,8111.07909919736,0.492266741469768
X21,tr_24::between_type_sentence,oof_fold,0.0,M_condition,5508,5508,2388.44811286087,0.433632554985634
X21,tr_24::between_type_sentence,oof_fold,0.0,M_joint,5508,5508,2386.4316101863,0.433266450651107
X21,tr_24::between_type_sentence,oof_fold,0.0,M_null,5508,5508,2416.99829715835,0.438815958089752
X21,tr_24::between_type_sentence,oof_fold,0.0,M_predictor,5508,5508,2411.0305559177,0.437732490181136
X21,tr_24::between_type_sentence,oof_fold,1.0,M_condition,5503,5503,2855.26405460675,0.518855906706659
X21,tr_24::between_type_sentence,oof_fold,1.0,M_joint,5503,5503,2849.15998801653,0.517746681449488
X21,tr_24::between_type_sentence,oof_fold,1.0,M_null,5503,5503,2896.37426348297,0.526326415315823
X21,tr_24::between_type_sentence,oof_fold,1.0,M_predictor,5503,5503,2872.87774515765,0.522056650037733
X21,tr_24::between_type_sentence,oof_fold,2.0,M_condition,5466,5466,2784.17307361559,0.509362069816244
X21,tr_24::between_type_sentence,oof_fold,2.0,M_joint,5466,5466,2786.31530166265,0.509753988595436
X21,tr_24::between_type_sentence,oof_fold,2.0,M_null,5466,5466,2825.9101349592,0.516997829300989
X21,tr_24::between_type_sentence,oof_fold,2.0,M_predictor,5466,5466,2827.17079812202,0.51722846654263
X21,tr_24::between_type_word,oof_all,,M_condition,16477,16477,8027.88524108321,0.48721765133721
X21,tr_24::between_type_word,oof_all,,M_joint,16477,16477,8027.95984235849,0.487222178937822
X21,tr_24::between_type_word,oof_all,,M_null,16477,16477,8139.28269560053,0.493978436341599
X21,tr_24::between_type_word,oof_all,,M_predictor,16477,16477,8130.58748865437,0.493450718495744
X21,tr_24::between_type_word,oof_fold,0.0,M_condition,5508,5508,2388.44811286087,0.433632554985634
X21,tr_24::between_type_word,oof_fold,0.0,M_joint,5508,5508,2389.1579077393,0.433761421158188
