dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,random_policy,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations
AN19,mfcc39,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-288.736738152338,329.249909323305,583.473476304676,611
AN19,mfcc39,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-279.146389725179,331.971584904294,566.292779450358,611
AN19,mfcc39,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,658,True,False,ok,,,-287.139337209989,325.586526637351,580.278674419978,658
AN19,mfcc39,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,658,True,False,ok,,,-283.61668042611,328.025345230125,575.23336085222,658
AN19,mfcc39,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-275.568250839169,300.842398770622,557.136501678337,611
AN19,mfcc39,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-272.18856646695,306.077904511363,552.377132933899,611
AN19,mfcc39,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,940,True,False,ok,,,-392.026549758788,492.762444477319,790.053099517576,940
AN19,mfcc39,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,940,True,False,ok,,,-387.873998311933,496.062943350536,783.747996623867,940
AN19,strf24_legacy,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-288.736738152338,329.249909323305,583.473476304676,611
AN19,strf24_legacy,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-279.988306426027,337.519338908082,567.976612852055,611
AN19,strf24_legacy,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,658,True,False,ok,,,-287.139337209989,325.586526637351,580.278674419978,658
AN19,strf24_legacy,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,658,True,False,ok,,,-284.01208260319,333.885069646862,576.024165206381,658
AN19,strf24_legacy,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-275.568250839169,300.842398770622,557.136501678337,611
AN19,strf24_legacy,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,611,True,False,ok,,,-269.81746702127,308.926278319113,547.634934042541,611
AN19,strf24_legacy,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,940,True,False,ok,,,-392.026549758788,492.762444477319,790.053099517576,940
AN19,strf24_legacy,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,participant_item,declared participant/item sensitivity structure; no automatic fallback,940,True,False,ok,,,-387.768894992817,501.338300368238,783.537789985633,940
