dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,fitted_condition_id
AN19,mfcc39,oof_all,,M_null,950,950,658.515686404749,0.693174406741841,AN19.Korean.test_Korean
AN19,mfcc39,oof_all,,M_predictor,950,950,601.292695234403,0.632939679194109,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,0.0,M_null,333,333,237.627951459238,0.713597451829544,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,0.0,M_predictor,333,333,220.872809041041,0.663281708831954,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,1.0,M_null,332,332,215.168275737269,0.64809721607611,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,1.0,M_predictor,332,332,193.139798701638,0.58174638163144,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,2.0,M_null,285,285,205.719459208242,0.72182266388857,AN19.Korean.test_Korean
AN19,mfcc39,oof_fold,2.0,M_predictor,285,285,187.280087491724,0.657123114006051,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_all,,M_null,950,950,658.513182778271,0.693171771345548,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_all,,M_predictor,950,950,573.726074698231,0.603922183892874,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_null,333,333,237.62544783276,0.713589933431712,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,0.0,M_predictor,333,333,208.277068804153,0.625456663075535,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_null,332,332,215.168275737269,0.64809721607611,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,1.0,M_predictor,332,332,182.090908443151,0.548466591696238,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_null,285,285,205.719459208242,0.72182266388857,AN19.Korean.test_Korean
AN19,strf24_legacy,oof_fold,2.0,M_predictor,285,285,183.358097450926,0.643361745441847,AN19.Korean.test_Korean
AN19,mfcc39,oof_all,,M_null,955,955,667.275919404589,0.698718240214229,AN19.Korean.test_Spanish
AN19,mfcc39,oof_all,,M_predictor,955,955,631.795398354439,0.661565862151245,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_null,287,287,200.157497828234,0.697412884418933,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,0.0,M_predictor,287,287,179.643388205726,0.625935150542599,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_null,334,334,235.692385776613,0.705665825678483,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,1.0,M_predictor,334,334,226.975985737263,0.679568819572645,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_null,334,334,231.426035799742,0.692892322753718,AN19.Korean.test_Spanish
AN19,mfcc39,oof_fold,2.0,M_predictor,334,334,225.17602441145,0.674179713806735,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_all,,M_null,955,955,667.183238815373,0.69862119247683,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_all,,M_predictor,955,955,639.688501014598,0.669830891114762,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_null,287,287,200.157497828234,0.697412884418933,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,0.0,M_predictor,287,287,197.718003061942,0.688912902654851,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_null,334,334,235.599705187397,0.705388338884423,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,1.0,M_predictor,334,334,229.346073792522,0.686664891594378,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_null,334,334,231.426035799742,0.692892322753718,AN19.Korean.test_Spanish
AN19,strf24_legacy,oof_fold,2.0,M_predictor,334,334,212.624424160133,0.636600072335729,AN19.Korean.test_Spanish
AN19,mfcc39,oof_all,,M_null,940,940,627.628905591265,0.667690325097091,AN19.Mixed.test_Korean
AN19,mfcc39,oof_all,,M_predictor,940,940,588.550251988903,0.626117289349896,AN19.Mixed.test_Korean
AN19,mfcc39,oof_fold,0.0,M_null,376,376,250.195047267253,0.665412359753332,AN19.Mixed.test_Korean
AN19,mfcc39,oof_fold,0.0,M_predictor,376,376,232.05054643776,0.617155708611063,AN19.Mixed.test_Korean
AN19,mfcc39,oof_fold,1.0,M_null,282,282,183.212018287899,0.649688008113117,AN19.Mixed.test_Korean
AN19,mfcc39,oof_fold,1.0,M_predictor,282,282,172.557856435533,0.611907292324585,AN19.Mixed.test_Korean
