dataset_id,model_variant,measure,sample_stratum,n_layers,n_fold_values
AN19,base,between_type_word,all_exposure_participants,18,54
AN19,base,mean_dissimilarity_word,all_exposure_participants,18,54
AN19,base,order_word,all_exposure_participants,18,54
AN19,base,overall,all_exposure_participants,18,54
AN19,base,overall_order_sensitive,all_exposure_participants,18,54
AN19,base,within_token_word,all_exposure_participants,18,54
AN19,base,within_type_word,all_exposure_participants,18,54
AN19,ft,between_type_word,all_exposure_participants,18,54
AN19,ft,mean_dissimilarity_word,all_exposure_participants,18,54
AN19,ft,order_word,all_exposure_participants,18,54
AN19,ft,overall,all_exposure_participants,18,54
AN19,ft,overall_order_sensitive,all_exposure_participants,18,54
AN19,ft,within_token_word,all_exposure_participants,18,54
AN19,ft,within_type_word,all_exposure_participants,18,54
B23,base,between_type_phoneme,order_independent_168_participants,18,54
B23,base,between_type_sentence,order_independent_168_participants,18,54
B23,base,between_type_word,order_independent_168_participants,18,54
B23,base,mean_dissimilarity_phoneme,order_independent_168_participants,18,54
B23,base,mean_dissimilarity_word,order_independent_168_participants,18,54
B23,base,order_phoneme,order_independent_168_participants,18,54
B23,base,order_sentence,order_independent_168_participants,18,54
B23,base,order_word,order_independent_168_participants,18,54
B23,base,overall,order_independent_168_participants,18,54
B23,base,overall_order_sensitive,global_order_97_participants,18,54
B23,base,within_token_phoneme,order_independent_168_participants,18,54
B23,base,within_token_sentence,order_independent_168_participants,18,54
B23,base,within_token_word,order_independent_168_participants,18,54
B23,base,within_type_phoneme,order_independent_168_participants,18,54
B23,base,within_type_word,order_independent_168_participants,18,54
B23,ft,between_type_phoneme,order_independent_168_participants,18,54
B23,ft,between_type_sentence,order_independent_168_participants,18,54
B23,ft,between_type_word,order_independent_168_participants,18,54
B23,ft,mean_dissimilarity_phoneme,order_independent_168_participants,18,54
B23,ft,mean_dissimilarity_word,order_independent_168_participants,18,54
B23,ft,order_phoneme,order_independent_168_participants,18,54
B23,ft,order_sentence,order_independent_168_participants,18,54
B23,ft,order_word,order_independent_168_participants,18,54
B23,ft,overall,order_independent_168_participants,18,54
B23,ft,overall_order_sensitive,global_order_97_participants,18,54
B23,ft,within_token_phoneme,order_independent_168_participants,18,54
B23,ft,within_token_sentence,order_independent_168_participants,18,54
B23,ft,within_token_word,order_independent_168_participants,18,54
B23,ft,within_type_phoneme,order_independent_168_participants,18,54
B23,ft,within_type_word,order_independent_168_participants,18,54
X21,base,between_type_phoneme,all_exposure_participants,18,54
X21,base,between_type_sentence,all_exposure_participants,18,54
X21,base,between_type_word,all_exposure_participants,18,54
X21,base,mean_dissimilarity_phoneme,all_exposure_participants,18,54
X21,base,mean_dissimilarity_sentence,all_exposure_participants,18,54
X21,base,mean_dissimilarity_word,all_exposure_participants,18,54
X21,base,order_phoneme,all_exposure_participants,18,54
X21,base,order_sentence,all_exposure_participants,18,54
X21,base,order_word,all_exposure_participants,18,54
X21,base,overall,all_exposure_participants,18,54
X21,base,overall_order_sensitive,all_exposure_participants,18,54
X21,base,within_token_phoneme,all_exposure_participants,18,54
X21,base,within_token_sentence,all_exposure_participants,18,54
X21,base,within_token_word,all_exposure_participants,18,54
X21,base,within_type_phoneme,all_exposure_participants,18,54
X21,base,within_type_sentence,all_exposure_participants,18,54
X21,base,within_type_word,all_exposure_participants,18,54
X21,ft,between_type_phoneme,all_exposure_participants,18,54
X21,ft,between_type_sentence,all_exposure_participants,18,54
X21,ft,between_type_word,all_exposure_participants,18,54
X21,ft,mean_dissimilarity_phoneme,all_exposure_participants,18,54
X21,ft,mean_dissimilarity_sentence,all_exposure_participants,18,54
X21,ft,mean_dissimilarity_word,all_exposure_participants,18,54
X21,ft,order_phoneme,all_exposure_participants,18,54
X21,ft,order_sentence,all_exposure_participants,18,54
X21,ft,order_word,all_exposure_participants,18,54
X21,ft,overall,all_exposure_participants,18,54
X21,ft,overall_order_sensitive,all_exposure_participants,18,54
X21,ft,within_token_phoneme,all_exposure_participants,18,54
X21,ft,within_token_sentence,all_exposure_participants,18,54
X21,ft,within_token_word,all_exposure_participants,18,54
X21,ft,within_type_phoneme,all_exposure_participants,18,54
X21,ft,within_type_sentence,all_exposure_participants,18,54
X21,ft,within_type_word,all_exposure_participants,18,54
