feature_key,status,run_dir
cnn_2,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-6c95855520
cnn_3,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-e916e1c4f6
cnn_4,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-bef9e190c7
cnn_5,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-701f7b5aa9
cnn_6,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-eee3545175
tr_0,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-75a477d0f6
tr_10,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-7cfaf6f25b
tr_12,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-8310204648
tr_14,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-537960b08f
tr_16,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-e889427232
tr_18,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-c2efc4fed7
tr_2,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-5d4894b406
tr_20,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-917e01936e
tr_22,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-ff25eb83a0
tr_24,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-4b3e7191f6
tr_4,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-0fdab047f6
tr_6,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-a9053d89e7
tr_8,computed,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\diagnostics\tt_all\X21-ft\r\f-c262cbf438
