case,recording_id,speaker_id,accent,intended_word_metadata,source_filename,external_filename,mapping_method,status,processed_transcript,predicted_transcript,ipa_tokens_json,n_ipa_tokens,empty_hypothesis,mean_token_max_posterior,emitted_token_posteriors_finite,emitted_token_posteriors_in_0_1,all_logits_finite,ipa_tokens_match_utf8_vocabulary,decoded_source_samples,source_sampling_rate,decoded_duration_seconds,recorded_decoded_length_matches_source_audit,model_input_samples_16khz,model_input_duration_seconds,resampled_length_matches_decoded_audio,wav_header_duration_seconds,audio_sha256,source_hash_matches,interpretation
hw74_wave_wade,AN19-rec-e3b5f76d470883981ffb,AN19.ENG.ef1,ENG,wade,ef1hw74 wade.WAV,ef1hw74 wade.WAV,exact_filename_case_insensitive,ok,weɪd,w/e/ɪ/d,"[""w"", ""e"", ""ɪ"", ""d""]",4,False,0.8648746907711029,True,True,True,True,17216,22050,0.7807709750566894,True,12493,0.7808125,True,0.7807709750566894,19890b7938d2a089bfcf89125a178ba8ab074fe34984a6a673849596208f6aa4,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
cheif_filename_typo,AN19-rec-8e01733e25fc77ea52f1,AN19.ENG.ef2,ENG,cheif,ef2ew32 cheif.WAV,ef2ew32 cheif.WAV,exact_filename_case_insensitive,ok,ʃif,ʃ/i/f,"[""ʃ"", ""i"", ""f""]",3,False,0.6751218438148499,True,True,True,True,9600,22050,0.43537414965986393,True,6966,0.435375,True,0.43537414965986393,581a9ebeadc7dc5fb5433bfcf3df4b865c36e348a377e4efac9fde0ea1610782,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-1351663fb8ede1f84bc4,AN19.ENG.ef2,ENG,wade,ef2hw74 wade.WAV,ef2hw74 wade.WAV,exact_filename_case_insensitive,ok,weɪd,w/e/ɪ/d,"[""w"", ""e"", ""ɪ"", ""d""]",4,False,0.9219420999288559,True,True,True,True,11840,22050,0.5369614512471655,True,8592,0.537,True,0.5369614512471655,b658abdb823fac0bef37d5d2fe5ed4855bc5f54339ac750b6883865fe6320876,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-c2738165ec358901531e,AN19.ENG.ef3,ENG,wade,ef3hw74 wade.WAV,ef3hw74 wade.WAV,exact_filename_case_insensitive,ok,wed,w/e/d,"[""w"", ""e"", ""d""]",3,False,0.600695808728536,True,True,True,True,9472,22050,0.4295691609977324,True,6874,0.429625,True,0.4295691609977324,50ce815f9cb85f4bec5d6eb3d41c6d3b7b47f60f66e5b5cb2e804110d458bde3,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-7d90830437bdf109fa4f,AN19.ENG.em1,ENG,wade,em1hw74 wade.WAV,em1hw74 wade.WAV,exact_filename_case_insensitive,ok,we,w/e,"[""w"", ""e""]",2,False,0.4640127718448639,True,True,True,True,11072,22050,0.5021315192743764,True,8035,0.5021875,True,0.5021315192743764,aaf79b005407f93268cad6a7c53047f3b505867cf66f1e318508febf0621516c,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-f341978e405703079015,AN19.ENG.em2,ENG,wade,em2hw74 wade.WAV,em2hw74 wade.WAV,exact_filename_case_insensitive,ok,weɪd,w/e/ɪ/d,"[""w"", ""e"", ""ɪ"", ""d""]",4,False,0.894166886806488,True,True,True,True,9632,22050,0.43682539682539684,True,6990,0.436875,True,0.43682539682539684,84dd9e9b82f676ef1a77592e22d48bdff994eb164a7875a63e30e5058c6c8449,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-2560712e4db691136871,AN19.ENG.em3,ENG,wade,em3hw74 wade.WAV,em3hw74 wade.WAV,exact_filename_case_insensitive,ok,we,w/e,"[""w"", ""e""]",2,False,0.8511717617511749,True,True,True,True,9536,22050,0.43247165532879817,True,6920,0.4325,True,0.43247165532879817,f542f1b6057fb2febb758a38193687b838ea0b49d608c506288ad32c655fee51,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-ffda4fada93a7b4a686b,AN19.KOR.kf1,KOR,wave,kf1hw74 wave.wav,kf1hw74 wave.wav,exact_filename_case_insensitive,ok,we,w/e,"[""w"", ""e""]",2,False,0.6322959512472153,True,True,True,True,14176,22050,0.6429024943310657,True,10287,0.6429375,True,0.6429024943310657,c7936e2b67ec3d6579211830fd83d7f7ec6ae937caf93b15c3e3d1cdff67ee36,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-576c1dd3c06c4de16dfc,AN19.KOR.kf2,KOR,wave,Kf2hw74 wave.wav,Kf2hw74 wave.wav,exact_filename_case_insensitive,ok,weɪ,w/e/ɪ,"[""w"", ""e"", ""ɪ""]",3,False,0.8006132245063782,True,True,True,True,10773,22050,0.48857142857142855,True,7818,0.488625,True,0.48857142857142855,c2537822873fe6af03a8043f3564297448022da5cdcdbf864537a83beeb56e10,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
hw74_wave_wade,AN19-rec-c532fc266f4c3e9da40c,AN19.KOR.kf3,KOR,wave,kf3hw74 wave.wav,kf3hw74 wave.wav,exact_filename_case_insensitive,ok,wev,w/e/v,"[""w"", ""e"", ""v""]",3,False,0.49329378207524616,True,True,True,True,12525,22050,0.5680272108843537,True,9089,0.5680625,True,0.5680272108843537,9b9381358b3da7a3f4cff48d86c4b79bdad980c6de3f69cd06d5c80a0a59b240,True,automatic unconstrained IPA hypothesis; not ground truth or automatic relabeling
