dataset_id,feature_key,scope,fold,model_id,n_rows,predictor_oof_total_trials,predictor_oof_total_log_loss,M_predictor,layer,measure,variant,selection_stratum
B23,cnn_2::between_type_phoneme,oof_all,,M_predictor,10080,54096,30778.8332468749,0.568966896755304,cnn_2,between_type_phoneme,base,order_independent_168_participants
B23,cnn_2::between_type_sentence,oof_all,,M_predictor,10080,54096,30779.4124691976,0.568977604059405,cnn_2,between_type_sentence,base,order_independent_168_participants
B23,cnn_2::between_type_word,oof_all,,M_predictor,10080,54096,30788.7716074009,0.569150613860561,cnn_2,between_type_word,base,order_independent_168_participants
B23,cnn_2::mean_dissimilarity_phoneme,oof_all,,M_predictor,10080,54096,30767.895174465,0.568764699320929,cnn_2,mean_dissimilarity_phoneme,base,order_independent_168_participants
B23,cnn_2::mean_dissimilarity_word,oof_all,,M_predictor,10080,54096,30782.2593369974,0.569030230275757,cnn_2,mean_dissimilarity_word,base,order_independent_168_participants
B23,cnn_2::order_phoneme,oof_all,,M_predictor,10080,54096,30847.218731803,0.570231047245693,cnn_2,order_phoneme,base,order_independent_168_participants
B23,cnn_2::order_sentence,oof_all,,M_predictor,10080,54096,30830.5785548376,0.569923442672981,cnn_2,order_sentence,base,order_independent_168_participants
B23,cnn_2::order_word,oof_all,,M_predictor,10080,54096,30858.3381032297,0.570436596111166,cnn_2,order_word,base,order_independent_168_participants
B23,cnn_2::overall,oof_all,,M_predictor,10080,54096,30775.910413073,0.568912866257635,cnn_2,overall,base,order_independent_168_participants
B23,cnn_2::within_token_phoneme,oof_all,,M_predictor,10080,54096,30785.8473972834,0.569096557920797,cnn_2,within_token_phoneme,base,order_independent_168_participants
B23,cnn_2::within_token_sentence,oof_all,,M_predictor,10080,54096,30789.0507570298,0.569155774124331,cnn_2,within_token_sentence,base,order_independent_168_participants
B23,cnn_2::within_token_word,oof_all,,M_predictor,10080,54096,30791.8362848415,0.569207266430817,cnn_2,within_token_word,base,order_independent_168_participants
B23,cnn_2::within_type_phoneme,oof_all,,M_predictor,10080,54096,30767.0804936231,0.568749639411844,cnn_2,within_type_phoneme,base,order_independent_168_participants
B23,cnn_2::within_type_word,oof_all,,M_predictor,10080,54096,30783.5310590177,0.569053738890449,cnn_2,within_type_word,base,order_independent_168_participants
B23,cnn_3::between_type_phoneme,oof_all,,M_predictor,10080,54096,30856.9806381869,0.570411502480533,cnn_3,between_type_phoneme,base,order_independent_168_participants
B23,cnn_3::between_type_sentence,oof_all,,M_predictor,10080,54096,30786.6076646226,0.569110611960636,cnn_3,between_type_sentence,base,order_independent_168_participants
B23,cnn_3::between_type_word,oof_all,,M_predictor,10080,54096,30804.9145005891,0.569449025816865,cnn_3,between_type_word,base,order_independent_168_participants
B23,cnn_3::mean_dissimilarity_phoneme,oof_all,,M_predictor,10080,54096,30795.1130285854,0.569267839185622,cnn_3,mean_dissimilarity_phoneme,base,order_independent_168_participants
B23,cnn_3::mean_dissimilarity_word,oof_all,,M_predictor,10080,54096,30790.0462391808,0.569174176264064,cnn_3,mean_dissimilarity_word,base,order_independent_168_participants
B23,cnn_3::order_phoneme,oof_all,,M_predictor,10080,54096,30880.6007020933,0.570848134836093,cnn_3,order_phoneme,base,order_independent_168_participants
B23,cnn_3::order_sentence,oof_all,,M_predictor,10080,54096,30882.410581676,0.570881591645889,cnn_3,order_sentence,base,order_independent_168_participants
B23,cnn_3::order_word,oof_all,,M_predictor,10080,54096,30881.0753169789,0.570856908403188,cnn_3,order_word,base,order_independent_168_participants
B23,cnn_3::overall,oof_all,,M_predictor,10080,54096,30857.7141838607,0.570425062552883,cnn_3,overall,base,order_independent_168_participants
B23,cnn_3::within_token_phoneme,oof_all,,M_predictor,10080,54096,30869.0226067256,0.570634106158044,cnn_3,within_token_phoneme,base,order_independent_168_participants
B23,cnn_3::within_token_sentence,oof_all,,M_predictor,10080,54096,30874.3607981256,0.570732786123292,cnn_3,within_token_sentence,base,order_independent_168_participants
B23,cnn_3::within_token_word,oof_all,,M_predictor,10080,54096,30875.3923361347,0.570751854779182,cnn_3,within_token_word,base,order_independent_168_participants
B23,cnn_3::within_type_phoneme,oof_all,,M_predictor,10080,54096,30792.3068864107,0.56921596580913,cnn_3,within_type_phoneme,base,order_independent_168_participants
B23,cnn_3::within_type_word,oof_all,,M_predictor,10080,54096,30786.3094921598,0.56910510004732,cnn_3,within_type_word,base,order_independent_168_participants
B23,cnn_4::between_type_phoneme,oof_all,,M_predictor,10080,54096,30828.2833359876,0.569881014048869,cnn_4,between_type_phoneme,base,order_independent_168_participants
B23,cnn_4::between_type_sentence,oof_all,,M_predictor,10080,54096,30788.4312280235,0.569144321724776,cnn_4,between_type_sentence,base,order_independent_168_participants
B23,cnn_4::between_type_word,oof_all,,M_predictor,10080,54096,30785.808789688,0.569095844234101,cnn_4,between_type_word,base,order_independent_168_participants
B23,cnn_4::mean_dissimilarity_phoneme,oof_all,,M_predictor,10080,54096,30786.4741300664,0.569108143486883,cnn_4,mean_dissimilarity_phoneme,base,order_independent_168_participants
B23,cnn_4::mean_dissimilarity_word,oof_all,,M_predictor,10080,54096,30789.22776474,0.569159046227818,cnn_4,mean_dissimilarity_word,base,order_independent_168_participants
B23,cnn_4::order_phoneme,oof_all,,M_predictor,10080,54096,30856.4437328324,0.570401577433312,cnn_4,order_phoneme,base,order_independent_168_participants
B23,cnn_4::order_sentence,oof_all,,M_predictor,10080,54096,30859.097257588,0.570450629576826,cnn_4,order_sentence,base,order_independent_168_participants
B23,cnn_4::order_word,oof_all,,M_predictor,10080,54096,30837.9597877454,0.570059889598961,cnn_4,order_word,base,order_independent_168_participants
B23,cnn_4::overall,oof_all,,M_predictor,10080,54096,30780.5528544225,0.56899868482739,cnn_4,overall,base,order_independent_168_participants
B23,cnn_4::within_token_phoneme,oof_all,,M_predictor,10080,54096,30800.791735634,0.569372813805716,cnn_4,within_token_phoneme,base,order_independent_168_participants
B23,cnn_4::within_token_sentence,oof_all,,M_predictor,10080,54096,30805.494054142,0.569459739243975,cnn_4,within_token_sentence,base,order_independent_168_participants
B23,cnn_4::within_token_word,oof_all,,M_predictor,10080,54096,30811.5053433374,0.569570861862936,cnn_4,within_token_word,base,order_independent_168_participants
B23,cnn_4::within_type_phoneme,oof_all,,M_predictor,10080,54096,30789.0660709367,0.569156057211932,cnn_4,within_type_phoneme,base,order_independent_168_participants
B23,cnn_4::within_type_word,oof_all,,M_predictor,10080,54096,30788.526315314,0.569146079475637,cnn_4,within_type_word,base,order_independent_168_participants
B23,cnn_5::between_type_phoneme,oof_all,,M_predictor,10080,54096,30836.9215913759,0.570040697858916,cnn_5,between_type_phoneme,base,order_independent_168_participants
B23,cnn_5::between_type_sentence,oof_all,,M_predictor,10080,54096,30788.0896349588,0.569138007153188,cnn_5,between_type_sentence,base,order_independent_168_participants
B23,cnn_5::between_type_word,oof_all,,M_predictor,10080,54096,30792.3041852513,0.56921591587643,cnn_5,between_type_word,base,order_independent_168_participants
B23,cnn_5::mean_dissimilarity_phoneme,oof_all,,M_predictor,10080,54096,30787.3279943461,0.569123927727487,cnn_5,mean_dissimilarity_phoneme,base,order_independent_168_participants
