analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory,dataset_id,feature_key,input_path,input_sha256
AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,AN19,cnn_3::overall_order_sensitive,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\AN19-HVE-base-order-sensitive-model-input.csv,5dd1db2b0c0856c34e4c1084e11800c07bee7d80195a8c070cf5434c0dab9f78
AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,AN19,cnn_3::overall_order_sensitive,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\AN19-HVE-ft-order-sensitive-model-input.csv,42a5f23e0799be178f713b807e5fb9e84b24752581b7a451b360351a23aae4e1
AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10,AN19,tr_10,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\AN19-AN19_hubert_base_tsne-confirmatory-model-input.csv,bcdd7a669150e182b76f070db7a4b1795f8393850b71c325d7fc7150aa06d9e7
AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10,AN19,tr_10,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\AN19-AN19_hubert_ft_tsne-confirmatory-model-input.csv,141299bb4782e3d7c3f88bd202600d690acd8523c7419fd17559ef04cf62da6b
B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,B23,tr_6::overall_order_sensitive,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-HVE-base-order-sensitive-model-input.csv,2693e93066ec6260120354320d75abe46fe1669dc29842920bc7f3e2a4861f16
B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,B23,tr_12::between_type_sentence,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-HVE-base-selected-model-input.csv,fc957d32bc828cbf040b0f6315d8d92faaeb85a5a6173fa53c3e3ca259d632f4
B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,B23,tr_20::overall_order_sensitive,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-HVE-ft-order-sensitive-model-input.csv,6e661145cd3a1ce72d1008970ae58f80cabcad482a1cb27619b3fd374312cbe6
B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,B23,tr_4::between_type_sentence,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-HVE-ft-selected-model-input.csv,03c94ff4a9548cdc6a23c0b02fa0b510a3cdc737eb160f30c645c3ea3e4ac48a
B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24,B23,tr_24,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-B23_hubert_base_tsne-confirmatory-model-input.csv,13a95a03ffb3098c3a651405c79d0f0df62d978441467df3931cb8ada73f4871
B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20,B23,tr_20,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\artifacts\derived\B23-B23_hubert_ft_tsne-confirmatory-model-input.csv,854fcc4565ca3142710af054d3a57048fe931aa49346c0feaf463fca9fab8fa4
