Slide,Title,Project figure/output
"1","Similarity-based inferences predict cross-talker generalization","results/figures/AN19-base-tr24-talker-similarity-heatmap-log-v3/talker_similarity_heatmap.png"
"2","Similarity predicts accuracy within and across X21 conditions","cross_talker_generalization/analysis/reference/figures/s_curves_tr24/X21_base_x21_s_curves_by_condition.png"
"3","Two mechanisms make different predictions","cross_talker_generalization/analysis/reference/figures/figure_00_notebook_ceiling_normalized_profiles.png + figure_03a_variability_ceiling_normalized_profiles.png"
"4","Three experiments test the account under different demands","cross_talker_generalization/analysis/reference/figures/figure_05b_experiment_talker_distance_matrices.png"
"5","Behaviorally relevant geometry is tested across the hierarchy","cross_talker_generalization/analysis/reference/figures/figure_05a_layer_distance_correlations.png"
"6","SBI turns exposure–test distance into a trial predictor","results/figures/X21-base-tr12-representation-schematic-v1/representation_schematic.png"
"7","HVE tests multiple ways of summarizing exposure variability","cross_talker_generalization/analysis/model_comparison/selection/figures/figure_03e_an19_complete_hve_selection.png"
"8","Participant-held-out prediction is the primary test","cross_talker_generalization/analysis/reference/figures/figure_04_cv_ceiling.png"
"9","Best SBI layers differ across datasets","cross_talker_generalization/analysis/model_comparison/selection/figures/figure_01_sbi_predictor_only_selection.png"
"10","SBI improves held-out prediction most clearly in AN19 and X21","cross_talker_generalization/analysis/model_comparison/selection/figures/figure_02_sbi_selected_downstream_comparisons.png"
"11","HVE selection is more heterogeneous and sample-dependent","cross_talker_generalization/analysis/model_comparison/selection/figures/figure_03a_order_sensitive_hve_selection.png + figure_03c_b23_order_independent_hve_selection.png"
"12","HVE does not show the same stable held-out benefit as SBI","cross_talker_generalization/analysis/model_comparison/selection/figures/figure_03g_selected_hve_downstream_comparisons.png"
"13","Combined-fold LRTs reveal association beyond out-of-fold gain","cross_talker_generalization/analysis/model_comparison/pooled_lrt/figures/figure_01_crossfitted_nested_lrt.png"
"14","SBI is the consistent signal; robustness is the next test","cross_talker_generalization/analysis/reference/figures/figure_09_predictor_transform_sensitivity.png"
