dataset_id,source,layer,scope,family,mean_z,ci_low,ci_high,n_folds,model_variant,measure
AN19,base,cnn_2,historical_test_fold_refit,SBI,5.406410922197641,4.5652314246216745,6.092505773795293,3,,
AN19,base,cnn_3,historical_test_fold_refit,SBI,4.231961148851519,3.4798872234398166,4.829737288826847,3,,
AN19,base,cnn_4,historical_test_fold_refit,SBI,2.784863611953091,2.6225360859665803,2.935467698699924,3,,
AN19,base,cnn_5,historical_test_fold_refit,SBI,0.5861651743741575,0.3103627800005815,0.9261281980867908,3,,
AN19,base,cnn_6,historical_test_fold_refit,SBI,0.871441900553307,0.3604840893161261,1.4578100297751264,3,,
AN19,base,tr_0,historical_test_fold_refit,SBI,2.0853984846958853,1.2512865710997467,2.7438477610292633,3,,
AN19,base,tr_10,historical_test_fold_refit,SBI,13.425119642842363,12.753650862705294,13.954929474938078,3,,
AN19,base,tr_12,historical_test_fold_refit,SBI,13.690584639969652,13.273595000918416,14.023525052670015,3,,
AN19,base,tr_14,historical_test_fold_refit,SBI,12.61794639995176,12.196618942776047,13.000192069277643,3,,
AN19,base,tr_16,historical_test_fold_refit,SBI,11.295301900297796,10.793128177844682,11.800835989093658,3,,
AN19,base,tr_18,historical_test_fold_refit,SBI,9.918517857094399,9.14979716547165,10.619447824850043,3,,
AN19,base,tr_2,historical_test_fold_refit,SBI,0.05000153741153999,-0.5611452467513548,0.6639515875428638,3,,
AN19,base,tr_20,historical_test_fold_refit,SBI,11.461244022452505,10.899888282029073,11.998225067215099,3,,
AN19,base,tr_22,historical_test_fold_refit,SBI,12.045725377171346,11.844058884971465,12.228234059374572,3,,
AN19,base,tr_24,historical_test_fold_refit,SBI,10.825501470473311,10.323402371138386,11.233927169334162,3,,
AN19,base,tr_4,historical_test_fold_refit,SBI,0.3206883199245655,-0.009634358403656427,0.723356415155483,3,,
AN19,base,tr_6,historical_test_fold_refit,SBI,5.171450700815528,4.4888557203022055,5.690770451286769,3,,
AN19,base,tr_8,historical_test_fold_refit,SBI,9.434915791960815,8.355892909797,10.237855580130253,3,,
AN19,ft,cnn_2,historical_test_fold_refit,SBI,5.406410922197641,4.5652314246216745,6.092505773795293,3,,
AN19,ft,cnn_3,historical_test_fold_refit,SBI,4.231961148851519,3.4798872234398166,4.829737288826847,3,,
AN19,ft,cnn_4,historical_test_fold_refit,SBI,2.784863611953091,2.6225360859665803,2.935467698699924,3,,
AN19,ft,cnn_5,historical_test_fold_refit,SBI,0.5861651743741575,0.3103627800005815,0.9261281980867908,3,,
AN19,ft,cnn_6,historical_test_fold_refit,SBI,0.871441900553307,0.3604840893161261,1.4578100297751264,3,,
AN19,ft,tr_0,historical_test_fold_refit,SBI,0.7455847837167675,0.2978487382508691,1.135293824465362,3,,
AN19,ft,tr_10,historical_test_fold_refit,SBI,9.104334383248846,8.232664122650196,9.753004080188608,3,,
AN19,ft,tr_12,historical_test_fold_refit,SBI,8.968096257376478,8.126281913635475,9.744930502555114,3,,
AN19,ft,tr_14,historical_test_fold_refit,SBI,9.164684537589755,8.390341808060736,9.986274313273377,3,,
AN19,ft,tr_16,historical_test_fold_refit,SBI,10.210008896453465,9.420553831926735,11.06846646342873,3,,
AN19,ft,tr_18,historical_test_fold_refit,SBI,9.044312957194512,8.736420120457925,9.43921714628727,3,,
AN19,ft,tr_2,historical_test_fold_refit,SBI,0.9202194159522725,0.3363282693880651,1.4970530562150846,3,,
AN19,ft,tr_20,historical_test_fold_refit,SBI,10.459984081120302,9.846850999097247,11.110762666417902,3,,
AN19,ft,tr_22,historical_test_fold_refit,SBI,7.856780516749164,7.5930719433814495,8.071671836209953,3,,
AN19,ft,tr_24,historical_test_fold_refit,SBI,9.02808826253836,8.774693032929587,9.366706412051887,3,,
AN19,ft,tr_4,historical_test_fold_refit,SBI,1.0312956236706992,0.3452345474041085,1.7620056250546408,3,,
AN19,ft,tr_6,historical_test_fold_refit,SBI,7.115594289350405,6.580138294895978,7.678213035424534,3,,
AN19,ft,tr_8,historical_test_fold_refit,SBI,8.507671597571411,7.694427655229414,9.181893634680932,3,,
AN19,mfcc39,mfcc39,historical_test_fold_refit,SBI,11.720366572312537,11.323608122690402,12.235128175776563,3,,
AN19,strf24_legacy,strf24_legacy,historical_test_fold_refit,SBI,13.94225453685447,13.24081891906831,14.785985581787953,3,,
B23,base,cnn_2,historical_test_fold_refit,SBI,-0.3705073599021104,-0.9711441020131028,0.19546693551213837,3,,
B23,base,cnn_3,historical_test_fold_refit,SBI,-0.0758602279638217,-0.6284853565028486,0.3365678682266114,3,,
B23,base,cnn_4,historical_test_fold_refit,SBI,-0.06450337189378201,-0.5304997239828055,0.3011886040327084,3,,
B23,base,cnn_5,historical_test_fold_refit,SBI,0.05946139507598891,-0.6520875034877878,0.6784790652539425,3,,
B23,base,cnn_6,historical_test_fold_refit,SBI,0.23304693291569098,-0.34097513683455405,0.7749268883908828,3,,
B23,base,tr_0,historical_test_fold_refit,SBI,0.23737699482521446,-0.10910023549712614,0.5522404812890294,3,,
B23,base,tr_10,historical_test_fold_refit,SBI,-0.12846301335964053,-0.38358980755278715,0.19172761394460808,3,,
B23,base,tr_12,historical_test_fold_refit,SBI,0.4032354020359685,0.10077452334928495,0.7275045981190208,3,,
B23,base,tr_14,historical_test_fold_refit,SBI,1.460537387144466,0.6156998524629133,2.4324157456118125,3,,
B23,base,tr_16,historical_test_fold_refit,SBI,1.6477983378646943,0.9236444845294739,2.596023896234933,3,,
B23,base,tr_18,historical_test_fold_refit,SBI,1.6286756036837051,0.8624782002139483,2.487935504104566,3,,
B23,base,tr_2,historical_test_fold_refit,SBI,0.21198938980156404,0.13425985028235263,0.2967675669371257,3,,
