dataset_id,variant,layer,talker_a_id,talker_b_id,content_id,raw_distance,item_scope,tau,dtw_normalization
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S001,7.099738627619484,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S002,6.090556154415379,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S003,6.444155014848932,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S004,3.3387518950397155,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S005,5.668931997214771,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S006,4.214176409982799,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S007,3.2080319357138394,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S008,4.60625462662168,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S009,9.130861907816826,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S010,2.7860425103832283,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S011,7.041738186206419,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S013,5.754672550449734,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S014,7.6180503756031515,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S015,8.313060442768565,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S016,10.3688188808963,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S017,6.190454584584583,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S018,7.011370984799788,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S019,8.037732460248224,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S020,7.655966256839329,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S021,2.991046153585651,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S022,5.053778017069379,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S023,10.128433709083792,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S025,7.475866501332723,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S026,5.455696123984369,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S027,5.080730051614698,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S028,10.081031896680102,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S029,4.941334702802061,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S030,7.913666990133259,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S031,5.122332248923588,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S032,3.2565323510407573,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S038,5.47865981570508,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_021,HT1_S041,6.846214240751679,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S001,7.505500728248659,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S002,2.8267033390420035,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S003,4.702421323741827,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S004,7.474282464725892,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S005,8.373818924769278,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S006,16.618216275075767,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S007,4.834043798453608,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S008,5.395001288892193,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S009,7.564319359520816,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S010,8.962227044062386,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S011,5.586172598874241,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S013,2.9324938137652174,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S014,5.873194675609479,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S015,8.873916921737038,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S016,14.900650223110413,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S017,3.6598791008598637,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S018,4.2388358632238505,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S019,7.9960917099926485,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S020,9.336425228500675,32 experimental sentences,2.0,mean_sequence_length
X21,base,tr_24,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,HT1_S021,3.5775143513907057,32 experimental sentences,2.0,mean_sequence_length
