dataset_id,feature_key,comparison_id,reduced_model,full_model,reduced_log_likelihood,full_log_likelihood,delta_log_likelihood,chisq,df,p_value,status,reason,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
AN19,cnn_3::overall_order_sensitive,predictor_beyond_condition,M_condition,M_joint,-2193.4091440175,-2192.37810608186,1.03103793564242,2.06207587128483,1,0.151004335591394,ok,,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,condition_beyond_predictor,M_predictor,M_joint,-2201.82177459995,-2192.37810608186,9.44366851808536,18.8873370361707,5,0.0020172499508257,ok,,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,predictor_beyond_condition,M_condition,M_joint,-2193.4091440175,-2192.37810608186,1.03103793564242,2.06207587128483,1,0.151004335591394,ok,,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,condition_beyond_predictor,M_predictor,M_joint,-2201.82177459995,-2192.37810608186,9.44366851808536,18.8873370361707,5,0.0020172499508257,ok,,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,tr_10,predictor_beyond_condition,M_condition,M_joint,-2154.29926655332,-2145.70441880981,8.59484774350585,17.1896954870117,1,3.38266244373579e-05,ok,,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,condition_beyond_predictor,M_predictor,M_joint,-2154.98440622609,-2145.70441880981,9.27998741627516,18.5599748325503,5,0.0023206017930912,ok,,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,predictor_beyond_condition,M_condition,M_joint,-2154.24972969189,-2149.56196100187,4.68776869001476,9.37553738002953,1,0.0021990023190575,ok,,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
AN19,tr_10,condition_beyond_predictor,M_predictor,M_joint,-2157.87522302394,-2149.56196100187,8.31326202206492,16.6265240441298,5,0.0052653731318556,ok,,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
B23,tr_6::overall_order_sensitive,predictor_beyond_condition,M_condition,M_joint,-8441.8504227494,-8438.78395975703,3.06646299237218,6.13292598474436,1,0.013268710040673,ok,,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_6::overall_order_sensitive,condition_beyond_predictor,M_predictor,M_joint,-8443.90035599309,-8438.78395975703,5.11639623605515,10.2327924721103,7,0.175760682723442,ok,,B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive,HVE,base,global_order_97_participants,0.568654114048756,models\B23-HVE-base-global-order-97-participants-tr-6--overall-order-sensitive
B23,tr_12::between_type_sentence,predictor_beyond_condition,M_condition,M_joint,-14865.8376770695,-14862.307861318,3.529815751559,7.059631503118,1,0.0078840213040688,ok,,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_12::between_type_sentence,condition_beyond_predictor,M_predictor,M_joint,-14866.3836730875,-14862.307861318,4.07581176952772,8.15162353905544,7,0.319414072863188,ok,,B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence,HVE,base,order_independent_168_participants,0.567963359328044,models\B23-HVE-base-order-independent-168-participants-tr-12--between-type-sentence
B23,tr_20::overall_order_sensitive,predictor_beyond_condition,M_condition,M_joint,-8441.8504227494,-8439.79948440816,2.05093834124636,4.10187668249273,1,0.0428356414815257,ok,,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_20::overall_order_sensitive,condition_beyond_predictor,M_predictor,M_joint,-8444.69932941047,-8439.79948440816,4.89984500231185,9.7996900046237,7,0.200211895607033,ok,,B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive,HVE,ft,global_order_97_participants,0.568186345942328,models\B23-HVE-ft-global-order-97-participants-tr-20--overall-order-sensitive
B23,tr_4::between_type_sentence,predictor_beyond_condition,M_condition,M_joint,-14865.8376770695,-14862.7868087754,3.05086829416905,6.1017365883381,1,0.0135049104343716,ok,,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_4::between_type_sentence,condition_beyond_predictor,M_predictor,M_joint,-14866.0427084438,-14862.7868087754,3.25589966840562,6.51179933681124,7,0.481413388751715,ok,,B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence,HVE,ft,order_independent_168_participants,0.568003411213627,models\B23-HVE-ft-order-independent-168-participants-tr-4--between-type-sentence
B23,tr_24,predictor_beyond_condition,M_condition,M_joint,-14865.8376770695,-14864.1809126473,1.6567644222323,3.3135288444646,1,0.0687117948141374,ok,,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_24,condition_beyond_predictor,M_predictor,M_joint,-14867.6051335022,-14864.1809126473,3.42422085485487,6.84844170970973,7,0.44482897582611,ok,,B23-SBI-base-tr-24,SBI,base,selected_hubert_layer,0.568779658317399,models\B23-SBI-base-tr-24
B23,tr_20,predictor_beyond_condition,M_condition,M_joint,-14865.8376770695,-14864.1612057117,1.67647135785774,3.35294271571547,1,0.0670849866966497,ok,,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
B23,tr_20,condition_beyond_predictor,M_predictor,M_joint,-14867.5989135685,-14864.1612057117,3.4377078567868,6.8754157135736,7,0.44196591626568,ok,,B23-SBI-ft-tr-20,SBI,ft,selected_hubert_layer,0.569008063509715,models\B23-SBI-ft-tr-20
X21,cnn_6::order_word,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5482.44223930174,1.86914906090533,3.73829812181066,1,0.0531785837008811,ok,,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,condition_beyond_predictor,M_predictor,M_joint,-5487.94646614599,-5482.44223930174,5.50422684425212,11.0084536885042,3,0.011680251002777,ok,,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5482.44223930174,1.86914906090533,3.73829812181066,1,0.0531785837008811,ok,,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,condition_beyond_predictor,M_predictor,M_joint,-5487.94646614599,-5482.44223930174,5.50422684425212,11.0084536885042,3,0.011680251002777,ok,,X21-HVE-ft-all-exposure-participants-cnn-6--order-word,HVE,ft,all_exposure_participants,0.488145038439055,models\X21-HVE-ft-all-exposure-participants-cnn-6--order-word
X21,tr_14,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5481.05257142511,3.25881693753399,6.51763387506799,1,0.0106810013552794,ok,,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,condition_beyond_predictor,M_predictor,M_joint,-5491.55408016013,-5481.05257142511,10.5015087350239,21.0030174700478,3,0.000105124386361,ok,,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_22,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5481.90868876226,2.40269960038677,4.80539920077354,1,0.0283706930378521,ok,,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
X21,tr_22,condition_beyond_predictor,M_predictor,M_joint,-5495.7784532688,-5481.90868876226,13.8697645065431,27.7395290130862,3,4.11920379056389e-06,ok,,X21-SBI-ft-tr-22,SBI,ft,selected_hubert_layer,0.483093297404871,models\X21-SBI-ft-tr-22
