dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,random_policy,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations
B23,cnn_2,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,cnn_2,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10006.275914549,12950.0554329618,20040.5518290979,6720
B23,cnn_2,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10014.6190748752,12954.498051959,20041.2381497505,6720
B23,cnn_2,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10012.1840721913,12949.3896305483,20038.3681443826,6720
B23,cnn_2,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.9241196589,12944.9126259722,20077.8482393178,6720
B23,cnn_2,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.8323715756,12944.755853154,20079.6647431512,6720
B23,cnn_2,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.690701747,12944.7009765856,20067.381403494,6720
B23,cnn_2,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.603151069,12944.5435972041,20069.206302138,6720
B23,cnn_2,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.18402903672,12379.6571999991,19600.3680580734,6720
B23,cnn_2,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.12560235244,12379.5526146911,19602.2512047049,6720
B23,cnn_2,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9789.58392519132,12379.3624079354,19591.1678503826,6720
B23,cnn_2,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9789.52710386195,12379.2578402672,19593.0542077239,6720
B23,cnn_2,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14865.9052356625,19186.7035750233,29757.8104713249,10080
B23,cnn_2,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14865.1617642933,19185.262169053,29758.3235285866,10080
B23,cnn_2,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14869.3823319577,19186.2954391282,29750.7646639153,10080
B23,cnn_2,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14868.6700233526,19184.8522294935,29751.3400467051,10080
B23,cnn_3,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,cnn_3,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10005.7453982474,12949.0332399977,20039.4907964948,6720
B23,cnn_3,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10014.6190748752,12954.498051959,20041.2381497505,6720
B23,cnn_3,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10011.5899440811,12948.3730460674,20037.1798881623,6720
B23,cnn_3,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.9241196589,12944.9126259722,20077.8482393178,6720
B23,cnn_3,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.8309880804,12944.7583619963,20079.6619761607,6720
B23,cnn_3,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.690701747,12944.7009765856,20067.381403494,6720
B23,cnn_3,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.5903741916,12944.5495284191,20069.1807483831,6720
B23,cnn_3,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.18402903672,12379.6571999991,19600.3680580734,6720
B23,cnn_3,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.04891928181,12379.4118481031,19602.0978385636,6720
