canonical_phone,n_english_reference_speakers,exclusion_reason,n_target_phone_intervals
aa,0,no_feature_center,95
aa,4,fewer_than_six_english_speakers,76
aa,5,fewer_than_six_english_speakers,87
aa,6,included_six_references,208
ae,0,no_feature_center,88
ae,2,fewer_than_six_english_speakers,28
ae,3,fewer_than_six_english_speakers,26
ae,4,fewer_than_six_english_speakers,61
ae,5,fewer_than_six_english_speakers,146
ae,6,included_six_references,155
ah,0,no_feature_center,125
ah,3,fewer_than_six_english_speakers,25
ah,4,fewer_than_six_english_speakers,108
ah,5,fewer_than_six_english_speakers,259
ah,6,included_six_references,95
ao,0,no_feature_center,71
ao,4,fewer_than_six_english_speakers,46
ao,5,fewer_than_six_english_speakers,80
ao,6,included_six_references,91
aw,0,no_feature_center,24
aw,0,no_matched_reference,1
aw,5,fewer_than_six_english_speakers,84
ay,0,no_feature_center,18
ay,4,fewer_than_six_english_speakers,63
ay,6,included_six_references,207
b,0,no_feature_center,59
b,3,fewer_than_six_english_speakers,58
b,4,fewer_than_six_english_speakers,30
b,5,fewer_than_six_english_speakers,125
b,6,included_six_references,160
ch,0,no_feature_center,32
ch,3,fewer_than_six_english_speakers,33
ch,5,fewer_than_six_english_speakers,94
ch,6,included_six_references,129
d,0,no_feature_center,140
d,1,fewer_than_six_english_speakers,27
d,2,fewer_than_six_english_speakers,33
d,3,fewer_than_six_english_speakers,58
d,4,fewer_than_six_english_speakers,101
d,5,fewer_than_six_english_speakers,285
d,6,included_six_references,184
eh,0,no_feature_center,44
eh,3,fewer_than_six_english_speakers,61
eh,4,fewer_than_six_english_speakers,55
eh,6,included_six_references,128
er,0,no_feature_center,50
er,4,fewer_than_six_english_speakers,120
er,5,fewer_than_six_english_speakers,85
er,6,included_six_references,33
ey,0,no_feature_center,45
ey,0,no_matched_reference,1
ey,0,unresolved_hw74_identity,36
ey,4,fewer_than_six_english_speakers,121
ey,5,fewer_than_six_english_speakers,97
ey,6,included_six_references,204
f,0,no_feature_center,57
f,3,fewer_than_six_english_speakers,32
f,4,fewer_than_six_english_speakers,35
f,5,fewer_than_six_english_speakers,218
f,6,included_six_references,126
g,0,no_feature_center,61
g,5,fewer_than_six_english_speakers,99
g,6,included_six_references,308
hh,0,no_feature_center,68
hh,4,fewer_than_six_english_speakers,86
hh,5,fewer_than_six_english_speakers,69
hh,6,included_six_references,124
ih,0,no_feature_center,157
ih,3,fewer_than_six_english_speakers,50
ih,4,fewer_than_six_english_speakers,160
ih,5,fewer_than_six_english_speakers,87
ih,6,included_six_references,158
iy,0,no_feature_center,98
iy,4,fewer_than_six_english_speakers,30
iy,5,fewer_than_six_english_speakers,83
iy,6,included_six_references,257
jh,0,no_feature_center,41
jh,3,fewer_than_six_english_speakers,24
jh,5,fewer_than_six_english_speakers,27
jh,6,included_six_references,124
k,0,no_feature_center,110
k,3,fewer_than_six_english_speakers,149
k,4,fewer_than_six_english_speakers,90
k,5,fewer_than_six_english_speakers,128
k,6,included_six_references,243
l,0,no_feature_center,174
l,4,fewer_than_six_english_speakers,249
l,5,fewer_than_six_english_speakers,347
l,6,included_six_references,94
m,0,no_feature_center,160
m,0,no_matched_reference,2
m,3,fewer_than_six_english_speakers,28
m,4,fewer_than_six_english_speakers,138
m,5,fewer_than_six_english_speakers,293
m,6,included_six_references,280
n,0,no_feature_center,179
n,0,no_matched_reference,1
n,2,fewer_than_six_english_speakers,22
n,3,fewer_than_six_english_speakers,27
n,4,fewer_than_six_english_speakers,164
n,5,fewer_than_six_english_speakers,282
n,6,included_six_references,45
ng,0,no_feature_center,36
ng,5,fewer_than_six_english_speakers,133
ng,6,included_six_references,58
ow,0,no_feature_center,57
ow,4,fewer_than_six_english_speakers,49
ow,5,fewer_than_six_english_speakers,118
ow,6,included_six_references,64
oy,0,no_feature_center,7
oy,5,fewer_than_six_english_speakers,33
oy,6,included_six_references,104
p,0,no_feature_center,55
p,3,fewer_than_six_english_speakers,28
p,4,fewer_than_six_english_speakers,33
p,5,fewer_than_six_english_speakers,199
p,6,included_six_references,261
r,0,no_feature_center,85
r,0,no_matched_reference,1
r,3,fewer_than_six_english_speakers,58
r,4,fewer_than_six_english_speakers,55
r,5,fewer_than_six_english_speakers,195
r,6,included_six_references,111
s,0,no_feature_center,45
s,4,fewer_than_six_english_speakers,30
s,5,fewer_than_six_english_speakers,233
s,6,included_six_references,232
sh,0,no_feature_center,24
sh,4,fewer_than_six_english_speakers,33
sh,5,fewer_than_six_english_speakers,32
sh,6,included_six_references,127
t,0,no_feature_center,140
t,0,no_matched_reference,2
t,2,fewer_than_six_english_speakers,22
t,3,fewer_than_six_english_speakers,59
t,4,fewer_than_six_english_speakers,118
t,5,fewer_than_six_english_speakers,338
t,6,included_six_references,221
th,0,no_feature_center,53
th,4,fewer_than_six_english_speakers,68
th,5,fewer_than_six_english_speakers,62
th,6,included_six_references,213
uh,0,no_feature_center,23
uh,4,fewer_than_six_english_speakers,21
uh,6,included_six_references,64
uw,0,no_feature_center,67
uw,2,fewer_than_six_english_speakers,24
uw,3,fewer_than_six_english_speakers,32
uw,4,fewer_than_six_english_speakers,143
uw,5,fewer_than_six_english_speakers,27
uw,6,included_six_references,102
v,0,no_feature_center,82
v,0,unresolved_hw74_identity,36
v,4,fewer_than_six_english_speakers,29
v,5,fewer_than_six_english_speakers,169
v,6,included_six_references,116
w,0,no_feature_center,75
w,0,unresolved_hw74_identity,36
w,2,fewer_than_six_english_speakers,25
w,4,fewer_than_six_english_speakers,139
w,5,fewer_than_six_english_speakers,90
w,6,included_six_references,65
y,0,no_feature_center,13
y,6,included_six_references,23
z,0,no_feature_center,46
z,3,fewer_than_six_english_speakers,58
z,4,fewer_than_six_english_speakers,83
z,5,fewer_than_six_english_speakers,27
