dataset_id,feature_key,scope,fold,model_id,n_rows,predictor_oof_total_trials,predictor_oof_total_log_loss,M_predictor,layer,measure,variant,selection_stratum,result_source,M_condition,M_joint,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain
AN19,cnn_2::between_type_word,oof_all,,M_predictor,5760.0,5760,3976.37672004803,0.690343180563895,cnn_2,between_type_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::mean_dissimilarity_word,oof_all,,M_predictor,5760.0,5760,3974.91893863487,0.690090093512998,cnn_2,mean_dissimilarity_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::order_word,oof_all,,M_predictor,5760.0,5760,3975.22350950881,0.690142970400835,cnn_2,order_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::overall,oof_all,,M_predictor,5760.0,5760,3976.14092123593,0.690302243270127,cnn_2,overall,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::overall_order_sensitive,oof_all,,M_predictor,5760.0,5760,3974.82729150468,0.690074182552896,cnn_2,overall_order_sensitive,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::within_token_word,oof_all,,M_predictor,5760.0,5760,3974.88098087929,0.690083503624876,cnn_2,within_token_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_2::within_type_word,oof_all,,M_predictor,5760.0,5760,3978.08168957402,0.690639182217711,cnn_2,within_type_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::between_type_word,oof_all,,M_predictor,5760.0,5760,3978.51430289806,0.690714288697581,cnn_3,between_type_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::mean_dissimilarity_word,oof_all,,M_predictor,5760.0,5760,3977.31241033517,0.690505626794301,cnn_3,mean_dissimilarity_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::order_word,oof_all,,M_predictor,5760.0,5760,3975.88321916729,0.690257503327655,cnn_3,order_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::overall,oof_all,,M_predictor,5760.0,5760,3977.83849161969,0.69059696035064,cnn_3,overall,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::overall_order_sensitive,oof_all,,M_predictor,5760.0,5760,3973.12426714401,0.68977851860139,cnn_3,overall_order_sensitive,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::within_token_word,oof_all,,M_predictor,5760.0,5760,3975.49451440259,0.690190019861561,cnn_3,within_token_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_3::within_type_word,oof_all,,M_predictor,5760.0,5760,3979.23023302402,0.690838582122225,cnn_3,within_type_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
AN19,cnn_4::between_type_word,oof_all,,M_predictor,5760.0,5760,3977.59568358905,0.690554806178655,cnn_4,between_type_word,base,all_exposure_participants,2026-08-27 revised actual-exposure HVE fits,,,,
