query_id,target_key,english_speaker,reference_key,raw_distance
X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.ENG.ENG_M_055,X21.ENG.ENG_M_055.HT1_S004::shoes,6.415106620843583
X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.ENG.ENG_M_066,X21.ENG.ENG_M_066.HT1_S004::shoes,4.99176696475491
X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.ENG.ENG_M_070,X21.ENG.ENG_M_070.HT1_S004::shoes,7.889882818349149
X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.ENG.ENG_M_131,X21.ENG.ENG_M_131.HT1_S004::shoes,4.9140802751477075
X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.CMN.CMN_M_032.HT1_S004.Wshoes::shoes,X21.ENG.ENG_M_133,X21.ENG.ENG_M_133.HT1_S004::shoes,6.908491275729468
X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.ENG.ENG_M_055,X21.ENG.ENG_M_055.HT1_S004::were,32.32023005094087
X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.ENG.ENG_M_066,X21.ENG.ENG_M_066.HT1_S004::were,6.926236267620514
X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.ENG.ENG_M_070,X21.ENG.ENG_M_070.HT1_S004::were,3.21870694036163
X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.ENG.ENG_M_131,X21.ENG.ENG_M_131.HT1_S004::were,2.118083895702564
X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.CMN.CMN_M_032.HT1_S004.Wwere::were,X21.ENG.ENG_M_133,X21.ENG.ENG_M_133.HT1_S004::were,2.2771645974657084
