dataset,fold,condition,requested_rows,available_rows,unavailable_rows
AN19,0,AN19.Control.test_Korean,336,336,0
AN19,0,AN19.Control.test_Spanish,336,336,0
AN19,0,AN19.Korean.test_Korean,336,336,0
AN19,0,AN19.Korean.test_Spanish,288,288,0
AN19,0,AN19.Mixed.test_Korean,384,384,0
AN19,0,AN19.Mixed.test_Spanish,336,336,0
AN19,0,AN19.Spanish.test_Korean,240,240,0
AN19,0,AN19.Spanish.test_Spanish,336,336,0
AN19,1,AN19.Control.test_Korean,288,288,0
AN19,1,AN19.Control.test_Spanish,336,336,0
AN19,1,AN19.Korean.test_Korean,336,336,0
AN19,1,AN19.Korean.test_Spanish,336,336,0
AN19,1,AN19.Mixed.test_Korean,288,288,0
AN19,1,AN19.Mixed.test_Spanish,288,288,0
AN19,1,AN19.Spanish.test_Korean,384,384,0
AN19,1,AN19.Spanish.test_Spanish,288,288,0
AN19,2,AN19.Control.test_Korean,336,336,0
AN19,2,AN19.Control.test_Spanish,288,288,0
AN19,2,AN19.Korean.test_Korean,288,288,0
AN19,2,AN19.Korean.test_Spanish,336,336,0
AN19,2,AN19.Mixed.test_Korean,288,288,0
AN19,2,AN19.Mixed.test_Spanish,336,336,0
AN19,2,AN19.Spanish.test_Korean,336,336,0
AN19,2,AN19.Spanish.test_Spanish,336,336,0
X21,0,X21.Control,1387,1387,0
X21,0,X21.Multi_talker,1341,1341,0
X21,0,X21.Single_talker,1339,1339,0
X21,0,X21.Talker_specific,1441,1441,0
X21,1,X21.Control,1386,1386,0
X21,1,X21.Multi_talker,1386,1386,0
X21,1,X21.Single_talker,1443,1443,0
X21,1,X21.Talker_specific,1288,1288,0
X21,2,X21.Control,1344,1344,0
X21,2,X21.Multi_talker,1393,1393,0
X21,2,X21.Single_talker,1338,1338,0
X21,2,X21.Talker_specific,1391,1391,0
B23,0,B23.a_control,540,540,0
B23,0,B23.b_BRP,420,420,0
B23,0,B23.b_FAR,420,420,0
B23,0,B23.b_SPA,480,480,0
B23,0,B23.b_TUR,420,420,0
B23,0,B23.c_noBRP,420,420,0
B23,0,B23.c_noFAR,360,360,0
B23,0,B23.c_noSPA,420,420,0
B23,0,B23.c_noTUR,420,420,0
B23,1,B23.a_control,540,540,0
B23,1,B23.b_BRP,420,420,0
B23,1,B23.b_FAR,420,420,0
B23,1,B23.b_SPA,420,420,0
B23,1,B23.b_TUR,420,420,0
B23,1,B23.c_noBRP,420,420,0
B23,1,B23.c_noFAR,420,420,0
B23,1,B23.c_noSPA,420,420,0
B23,1,B23.c_noTUR,420,420,0
B23,2,B23.a_control,540,540,0
B23,2,B23.b_BRP,420,420,0
B23,2,B23.b_FAR,420,420,0
B23,2,B23.b_SPA,420,420,0
B23,2,B23.b_TUR,360,360,0
B23,2,B23.c_noBRP,480,480,0
B23,2,B23.c_noFAR,420,420,0
B23,2,B23.c_noSPA,420,420,0
B23,2,B23.c_noTUR,420,420,0
