dataset_id,model_variant,representation,layer,fold,type,fold_val,fold_train,alpha,k,z_train,z_test,poll_train,poll_test,optimism
B23,base,hubert_tsne_3d,cnn_2,1,corrected,2,3,0.1,0.0010037010865477953,-1.1646710646806826,-0.2714717979114159,-0.07597839281063197,-0.08362874354398324,0.10069113665537716
B23,base,hubert_tsne_3d,cnn_2,2,corrected,3,1,0.1,0.5087953461386595,-0.46042300750665593,0.3246202022037603,-0.0836249310921522,-0.08227951671826639,-0.016088675426269797
B23,base,hubert_tsne_3d,cnn_2,3,corrected,1,2,0.1,0.0010037010865477953,2.8165293723925626,-1.1646704839986757,-0.08206162771024501,-0.07597839281063734,-0.07413007844649673
B23,base,hubert_tsne_3d,cnn_3,1,corrected,2,3,0.1,0.0010037010865477953,-0.8921346458862196,0.33984971729255364,-0.07599380911718065,-0.08362758497514956,0.10045260195074328
B23,base,hubert_tsne_3d,cnn_3,2,corrected,3,1,0.1,0.4896406426498247,-0.4562045519115241,0.32470272160358954,-0.08362503765650285,-0.08227951520703493,-0.016089947307345608
B23,base,hubert_tsne_3d,cnn_3,3,corrected,1,2,0.1,0.0010037010865477953,3.6868794007071513,-0.8921331227876081,-0.08190368489542645,-0.07599380911718864,-0.07215640890618602
B23,base,hubert_tsne_3d,cnn_4,1,corrected,2,3,0.1,0.0010037010865477953,-0.7108482971310707,0.22208055999916942,-0.07600181625080553,-0.08362941557302303,0.10036075055162459
B23,base,hubert_tsne_3d,cnn_4,2,corrected,3,1,0.1,0.440413860392759,-0.4567953875478618,0.32306955238241086,-0.08362502283555012,-0.08227954448710754,-0.01608942279260696
B23,base,hubert_tsne_3d,cnn_4,3,corrected,1,2,0.1,0.005782528710635179,3.6842057723890327,-0.7386602280629262,-0.08190421473185686,-0.07600070740217153,-0.07207818729491022
B23,base,hubert_tsne_3d,cnn_5,1,corrected,2,3,0.1,0.0010037010865477953,-0.9220238838817624,0.776571735788532,-0.07599230932881884,-0.08361408758648425,0.10029670535061602
B23,base,hubert_tsne_3d,cnn_5,2,corrected,3,1,0.1,0.43907438067288473,-0.4569869991067596,0.3238363333211971,-0.08362501797338297,-0.08227953076792982,-0.0160895296414932
B23,base,hubert_tsne_3d,cnn_5,3,corrected,1,2,0.1,0.0010037010865477953,3.5595017374708315,-0.9220238838817624,-0.08192962537707706,-0.07599230932881884,-0.07246848769211395
B23,base,hubert_tsne_3d,cnn_6,1,corrected,2,3,0.1,0.0010037010865477953,-0.5251487577873499,0.8994075152502412,-0.0760081497255497,-0.08360838611246915,0.09999238784738732
B23,base,hubert_tsne_3d,cnn_6,2,corrected,3,1,0.1,0.41922202263573344,-0.45420082725369937,0.3248815451301274,-0.08362508791928741,-0.08227951197159027,-0.01609057737548637
B23,base,hubert_tsne_3d,cnn_6,3,corrected,1,2,0.1,0.0010037010865477953,3.8027810426052375,-0.5251482616332958,-0.08187963494567396,-0.07600814972554946,-0.07170873714837822
B23,base,hubert_tsne_3d,tr_0,1,corrected,2,3,0.1,0.0010037010865477953,-0.22991686316004412,0.6143468760154446,-0.07601430273015079,-0.08362033676743846,0.10006056444783733
B23,base,hubert_tsne_3d,tr_0,2,corrected,3,1,0.1,0.4517595488036216,-0.4485446973849249,0.32770197727814465,-0.0836252286709132,-0.08227946098145879,-0.016092843162801386
B23,base,hubert_tsne_3d,tr_0,3,corrected,1,2,0.1,0.0010037010865477953,3.708116684763484,-0.2299178688179457,-0.08189982759471334,-0.07601430273014478,-0.07186248173431406
B23,base,hubert_tsne_3d,tr_2,1,corrected,2,3,0.1,0.0010037010865477953,0.19185269784462014,0.11833054233099355,-0.07601474574551556,-0.08363039248295112,0.10018643965384626
B23,base,hubert_tsne_3d,tr_2,2,corrected,3,1,0.1,0.5489311144311755,-0.45036748490712597,0.3257872018902784,-0.08362518351855616,-0.08227949563677295,-0.016091897502199325
B23,base,hubert_tsne_3d,tr_2,3,corrected,1,2,0.1,0.0010037010865477953,3.230106677533631,0.19185042518342033,-0.08199239705764096,-0.0760147457455244,-0.0729049463929472
B23,base,hubert_tsne_3d,tr_4,1,corrected,2,3,0.1,0.0010037010865477953,0.2683081441869018,0.11866504176529263,-0.07601377319976896,-0.0836303902982411,0.10020048706772117
B23,base,hubert_tsne_3d,tr_4,2,corrected,3,1,0.1,0.5870785836634664,-0.43121776608307805,0.3189713485415598,-0.08362564891065642,-0.08227961739639905,-0.01609591712341075
B23,base,hubert_tsne_3d,tr_4,3,corrected,1,2,0.1,0.001007034434817863,2.8807979650491893,0.26828275946884844,-0.08205174713385215,-0.0760137736224439,-0.07358738506272659
B23,base,hubert_tsne_3d,tr_6,1,corrected,2,3,0.1,0.0010037010865477953,0.6214434811755494,0.10782962171864284,-0.07600508413940756,-0.08363045818765662,0.10032715751307765
B23,base,hubert_tsne_3d,tr_6,2,corrected,3,1,0.1,0.621574435247498,-0.4116615968311466,0.31732007369951815,-0.08362610335963759,-0.08227964644643807,-0.016100916569184515
B23,base,hubert_tsne_3d,tr_6,3,corrected,1,2,0.1,0.0010038334393897568,2.840953809898074,0.6214406840763974,-0.08205816011674089,-0.07600508418267772,-0.07376567943336403
B23,base,hubert_tsne_3d,tr_8,1,corrected,2,3,0.1,0.0010037010865477953,0.6512266942069976,0.07481641090481142,-0.07600403385706934,-0.08363062488094615,0.10034455589842926
B23,base,hubert_tsne_3d,tr_8,2,corrected,3,1,0.1,0.6945121444989584,-0.40906851515475506,0.33334800268489345,-0.08362616199300935,-0.08227935759617205,-0.016105060482745546
B23,base,hubert_tsne_3d,tr_8,3,corrected,1,2,0.1,0.0010036661796695248,2.805417181023422,0.6512271909017221,-0.08206373002665995,-0.07600403384664851,-0.0738413447456365
B23,base,hubert_tsne_3d,tr_10,1,corrected,2,3,0.1,0.0010037010865477953,0.8899008283450932,-0.40273856640594746,-0.0759938611020319,-0.08362629826653954,0.10043491742392283
B23,base,hubert_tsne_3d,tr_10,2,corrected,3,1,0.1,0.7661913306806012,-0.43074172154156126,0.33170920571838763,-0.08362566017905834,-0.0822793878185541,-0.01609879500648035
B23,base,hubert_tsne_3d,tr_10,3,corrected,1,2,0.1,0.29433752100630795,0.7715809490517697,-0.31435967939136183,-0.08226592508948131,-0.07601303759522052,-0.07600823168838715
B23,base,hubert_tsne_3d,tr_12,1,corrected,2,3,0.1,0.0010037010865477953,0.8344306144309172,0.03434966791636028,-0.07599650680090415,-0.0836307470041246,0.1004551462242948
B23,base,hubert_tsne_3d,tr_12,2,corrected,3,1,0.1,0.8974851032216642,-0.4024337443228429,0.3409259237606283,-0.08362631045574274,-0.08227921609726715,-0.01610849924066072
B23,base,hubert_tsne_3d,tr_12,3,corrected,1,2,0.1,0.0010037010865477953,2.6735195179521174,0.8344306144309172,-0.08208408737408691,-0.07599650680090415,-0.07416273687053924
B23,base,hubert_tsne_3d,tr_14,1,corrected,2,3,0.1,0.0010037010865477953,1.097563604899338,0.4824183890230511,-0.07598242887506784,-0.08362434241931539,0.10057474678537284
B23,base,hubert_tsne_3d,tr_14,2,corrected,3,1,0.1,0.001004266744669043,0.48241523654842217,2.801630167511009,-0.08362434245351803,-0.08206447641887442,-0.018653253214046546
B23,base,hubert_tsne_3d,tr_14,3,corrected,1,2,0.1,0.0010037010865477953,2.801632097536005,1.097563604899338,-0.08206447586865623,-0.07598242887506784,-0.07411303038506785
B23,base,hubert_tsne_3d,tr_16,1,corrected,2,3,0.1,0.0010037010865477953,1.0075893238652542,0.9004245533914799,-0.07598770061376924,-0.08360835857139753,0.10028804525041003
B23,base,hubert_tsne_3d,tr_16,2,corrected,3,1,0.1,0.0010037090704959266,0.9004261179183921,3.0353769938665356,-0.08360835857323073,-0.08202710407914963,-0.018912636500286194
B23,base,hubert_tsne_3d,tr_16,3,corrected,1,2,0.1,0.0010037010865477953,3.0353776685609346,1.0075934663360675,-0.08202710407163784,-0.07598770061376728,-0.07362692522457072
B23,base,hubert_tsne_3d,tr_18,1,corrected,2,3,0.1,0.0010037010865477953,1.3627841592066992,0.724096089245983,-0.07596443869829982,-0.08361628448536941,0.10072931384986133
