dataset_id,feature_key,held_out_fold,n_training_rows,n_held_out_rows,training_mean,training_sd,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
AN19,cnn_3::overall_order_sensitive,0,3840,1920,279.760135490102,9.78838365209364,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,1,3840,1920,279.80247331103,10.0508545496628,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,2,3840,1920,279.523663862131,10.0051136253936,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,0,3840,1920,279.760135490102,9.78838365209364,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,1,3840,1920,279.80247331103,10.0508545496628,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,2,3840,1920,279.523663862131,10.0051136253936,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,tr_10,0,3791,1894,15.3095162660091,4.90903086810595,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,1,3790,1895,15.284334529973,4.90570174454408,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,2,3789,1896,15.2870752831783,4.88431197535979,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,0,3791,1894,11.8112360996924,5.54135028470621,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
