dataset_id,variant,selection_objective,feature_key,measure,family,method,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high
AN19,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,base,predictor_beyond_condition,-0.0004140339105674263,-0.002240661044007737,0.0014491369157897786,5760,120,5760,,
AN19,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,base,condition_beyond_predictor,0.005277182581220529,-0.0069104454699036155,0.017158001422430708,5760,120,5760,,
AN19,base,training-fold z,tr_24::order_word,order_word,HVE,base,predictor_beyond_condition,-0.0007994755719190335,-0.0026933142351061212,0.000789913906047388,5760,120,5760,,
AN19,base,training-fold z,tr_24::order_word,order_word,HVE,base,condition_beyond_predictor,0.005547004687214208,-0.006938827041650247,0.017918338972563376,5760,120,5760,,
AN19,ft,OOF likelihood,tr_24::order_word,order_word,HVE,ft,predictor_beyond_condition,5.9382173272616614e-05,-0.0012349820186234532,0.0014050004596875287,5760,120,5760,,
AN19,ft,OOF likelihood,tr_24::order_word,order_word,HVE,ft,condition_beyond_predictor,0.005862675231811987,-0.006203130038400163,0.017190691396890074,5760,120,5760,,
AN19,ft,training-fold z,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,ft,predictor_beyond_condition,0.00010295861524029904,-0.0012001430137229153,0.0014109977725660521,5760,120,5760,,
AN19,ft,training-fold z,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,ft,condition_beyond_predictor,0.0059548488975328445,-0.005303168137955293,0.017529634581595354,5760,120,5760,,
B23,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,base,predictor_beyond_condition,-0.010636058556923568,-0.03312741523557459,0.002506552690501638,5820,97,31234,,
B23,base,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,base,condition_beyond_predictor,-0.012130898235086883,-0.03399498968806654,0.0017569099907752252,5820,97,31234,,
B23,base,training-fold z,tr_24::between_type_phoneme,between_type_phoneme,HVE,base,predictor_beyond_condition,-9.965131212341236e-05,-0.0006962242781535266,0.00038774843814020656,10080,168,54096,,
B23,base,training-fold z,tr_24::between_type_phoneme,between_type_phoneme,HVE,base,condition_beyond_predictor,-0.0010963488490735858,-0.002653769177510858,0.0004159180498117742,10080,168,54096,,
B23,ft,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,ft,predictor_beyond_condition,0.003097650144004256,-0.004155806828100509,0.015353486700306528,5820,97,31234,,
B23,ft,OOF likelihood,tr_24::overall_order_sensitive,overall_order_sensitive,HVE,ft,condition_beyond_predictor,0.0016288252542841978,-0.007796618136873129,0.015305258892366948,5820,97,31234,,
B23,ft,training-fold z,tr_24::within_token_word,within_token_word,HVE,ft,predictor_beyond_condition,-9.977762466190893e-05,-0.0006644559688953944,0.0004027508037620702,10080,168,54096,,
B23,ft,training-fold z,tr_24::within_token_word,within_token_word,HVE,ft,condition_beyond_predictor,-0.0014857361346088727,-0.003798775817043083,0.000929551709443081,10080,168,54096,,
X21,base,OOF likelihood,tr_24::mean_dissimilarity_word,mean_dissimilarity_word,HVE,base,predictor_beyond_condition,-0.00010140839254705645,-0.0007989596591961716,0.0005534459256999613,16477,320,16477,,
X21,base,OOF likelihood,tr_24::mean_dissimilarity_word,mean_dissimilarity_word,HVE,base,condition_beyond_predictor,0.004195727611616298,-0.00026635752004012674,0.008609354305656996,16477,320,16477,,
X21,base,training-fold z,tr_24::between_type_word,between_type_word,HVE,base,predictor_beyond_condition,-0.0006403458060606112,-0.0016788441872720385,0.0003606706432839751,16477,320,16477,,
X21,base,training-fold z,tr_24::between_type_word,between_type_word,HVE,base,condition_beyond_predictor,0.006942332045215872,0.0013935242581360838,0.01292071898689386,16477,320,16477,,
X21,ft,OOF likelihood,tr_24::within_type_phoneme,within_type_phoneme,HVE,ft,predictor_beyond_condition,6.612292670158563e-05,-0.002188839508860506,0.002428790594610106,16477,320,16477,,
X21,ft,OOF likelihood,tr_24::within_type_phoneme,within_type_phoneme,HVE,ft,condition_beyond_predictor,0.003473691376727703,-0.0009109385499471788,0.007929566762171292,16477,320,16477,,
X21,ft,training-fold z,tr_24::between_type_sentence,between_type_sentence,HVE,ft,predictor_beyond_condition,0.0003628294724598275,-0.0009082537071933818,0.001513961313893381,16477,320,16477,,
X21,ft,training-fold z,tr_24::between_type_sentence,between_type_sentence,HVE,ft,condition_beyond_predictor,0.005411919605017626,2.0809440044368637e-05,0.011087146510284572,16477,320,16477,,
