layer,measure,reason
cnn_2,mean_dissimilarity_sentence,mathematically_undefined
cnn_2,within_type_sentence,mathematically_undefined
cnn_3,mean_dissimilarity_sentence,mathematically_undefined
cnn_3,within_type_sentence,mathematically_undefined
cnn_4,mean_dissimilarity_sentence,mathematically_undefined
cnn_4,within_type_sentence,mathematically_undefined
cnn_5,mean_dissimilarity_sentence,mathematically_undefined
cnn_5,within_type_sentence,mathematically_undefined
cnn_6,mean_dissimilarity_sentence,mathematically_undefined
cnn_6,within_type_sentence,mathematically_undefined
tr_0,mean_dissimilarity_sentence,mathematically_undefined
tr_0,within_type_sentence,mathematically_undefined
tr_10,mean_dissimilarity_sentence,mathematically_undefined
tr_10,within_type_sentence,mathematically_undefined
tr_12,mean_dissimilarity_sentence,mathematically_undefined
tr_12,within_type_sentence,mathematically_undefined
tr_14,mean_dissimilarity_sentence,mathematically_undefined
tr_14,within_type_sentence,mathematically_undefined
tr_16,mean_dissimilarity_sentence,mathematically_undefined
tr_16,within_type_sentence,mathematically_undefined
tr_18,mean_dissimilarity_sentence,mathematically_undefined
tr_18,within_type_sentence,mathematically_undefined
tr_2,mean_dissimilarity_sentence,mathematically_undefined
tr_2,within_type_sentence,mathematically_undefined
tr_20,mean_dissimilarity_sentence,mathematically_undefined
tr_20,within_type_sentence,mathematically_undefined
tr_22,mean_dissimilarity_sentence,mathematically_undefined
tr_22,within_type_sentence,mathematically_undefined
tr_24,mean_dissimilarity_sentence,mathematically_undefined
tr_24,within_type_sentence,mathematically_undefined
tr_4,mean_dissimilarity_sentence,mathematically_undefined
tr_4,within_type_sentence,mathematically_undefined
tr_6,mean_dissimilarity_sentence,mathematically_undefined
tr_6,within_type_sentence,mathematically_undefined
tr_8,mean_dissimilarity_sentence,mathematically_undefined
tr_8,within_type_sentence,mathematically_undefined
