dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss
AN19,mfcc39,oof_all,,M_null,940,940,627.628905591265,0.667690325097091
AN19,mfcc39,oof_all,,M_predictor,940,940,588.550251988903,0.626117289349896
AN19,mfcc39,oof_fold,0.0,M_null,376,376,250.195047267253,0.665412359753332
AN19,mfcc39,oof_fold,0.0,M_predictor,376,376,232.05054643776,0.617155708611063
AN19,mfcc39,oof_fold,1.0,M_null,282,282,183.212018287899,0.649688008113117
AN19,mfcc39,oof_fold,1.0,M_predictor,282,282,172.557856435533,0.611907292324585
AN19,mfcc39,oof_fold,2.0,M_null,282,282,194.221840036114,0.688729929206077
AN19,mfcc39,oof_fold,2.0,M_predictor,282,282,183.94184911561,0.652276060693652
AN19,strf24_legacy,oof_all,,M_null,940,940,627.628905591265,0.667690325097091
AN19,strf24_legacy,oof_all,,M_predictor,940,940,588.042558460244,0.625577189851324
AN19,strf24_legacy,oof_fold,0.0,M_null,376,376,250.195047267253,0.665412359753332
AN19,strf24_legacy,oof_fold,0.0,M_predictor,376,376,233.097540378021,0.619940266962823
AN19,strf24_legacy,oof_fold,1.0,M_null,282,282,183.212018287899,0.649688008113117
AN19,strf24_legacy,oof_fold,1.0,M_predictor,282,282,172.065632246119,0.610161816475601
AN19,strf24_legacy,oof_fold,2.0,M_null,282,282,194.221840036114,0.688729929206077
AN19,strf24_legacy,oof_fold,2.0,M_predictor,282,282,182.879385836103,0.648508460411714
