scope,component,check,observed,expected,status,detail
AN19,behavior,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\preprocessed data\AN19-behavioral-data.csv
AN19,manifest,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\manifests\AN19-stimulus-manifest.csv
AN19,dataset,behavior_rows,24960,24960,pass,
AN19,dataset,test_rows,7680,7680,pass,
AN19,dataset,participants,160,160,pass,
AN19,dataset,manifest_units,6261,6261,pass,
AN19,dataset,test_talkers,24,24,pass,
AN19,dataset,count_identity,True,True,pass,
X21,behavior,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\preprocessed data\X21-behavioral-data.csv
X21,manifest,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\manifests\X21-stimulus-manifest.csv
X21,dataset,behavior_rows,16477,16477,pass,
X21,dataset,test_rows,16477,16477,pass,
X21,dataset,participants,320,320,pass,
X21,dataset,manifest_units,660,660,pass,
X21,dataset,test_talkers,4,4,pass,
X21,dataset,count_identity,True,True,pass,
B23,behavior,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\preprocessed data\B23-behavioral-data.csv
B23,manifest,path_exists,True,True,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\manifests\B23-stimulus-manifest.csv
B23,dataset,behavior_rows,11700,11700,pass,
B23,dataset,test_rows,11700,11700,pass,
B23,dataset,participants,195,195,pass,
B23,dataset,manifest_units,480,480,pass,
B23,dataset,test_talkers,4,4,pass,
B23,dataset,count_identity,True,True,pass,
AN19_hubert_base_tsne,feature_store,dataset_id,AN19,AN19,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d.h5
AN19_hubert_base_tsne,feature_store,unit_count,6261,6261,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d.h5
AN19_hubert_base_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d.h5
AN19_hubert_base_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=649616185;mtime_ns=1786685509010064600;manifest_sha256=c395b3a7f5b9e75af43a8040cc43640f70250d17df5160846a22fb21d15cd1b3
AN19_hubert_ft_tsne,feature_store,dataset_id,AN19,AN19,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d_ft.h5
AN19_hubert_ft_tsne,feature_store,unit_count,6261,6261,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d_ft.h5
AN19_hubert_ft_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_tsne_3d_ft.h5
AN19_hubert_ft_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=649332209;mtime_ns=1786711034917689600;manifest_sha256=c395b3a7f5b9e75af43a8040cc43640f70250d17df5160846a22fb21d15cd1b3
AN19_hubert_base_full,feature_store,dataset_id,AN19,AN19,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features.h5
AN19_hubert_base_full,feature_store,unit_count,6261,6261,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features.h5
AN19_hubert_base_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features.h5
AN19_hubert_base_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=7870716038;mtime_ns=1786655969681708400;manifest_sha256=c395b3a7f5b9e75af43a8040cc43640f70250d17df5160846a22fb21d15cd1b3
AN19_hubert_ft_full,feature_store,dataset_id,AN19,AN19,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features_ft.h5
AN19_hubert_ft_full,feature_store,unit_count,6261,6261,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features_ft.h5
AN19_hubert_ft_full,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_hubert_full_corpus_features_ft.h5
AN19_hubert_ft_full,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=7909408265;mtime_ns=1786656544792711300;manifest_sha256=c395b3a7f5b9e75af43a8040cc43640f70250d17df5160846a22fb21d15cd1b3
AN19_acoustic,feature_store,dataset_id,AN19,AN19,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_acoustic_baselines_full_corpus.h5
AN19_acoustic,feature_store,unit_count,6261,6261,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_acoustic_baselines_full_corpus.h5
AN19_acoustic,feature_store,feature_keys,"mfcc39,strf24_legacy","mfcc39,strf24_legacy",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\an19_acoustic_baselines_full_corpus.h5
AN19_acoustic,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=132398665;mtime_ns=1786674198730733700;manifest_sha256=c395b3a7f5b9e75af43a8040cc43640f70250d17df5160846a22fb21d15cd1b3
X21_hubert_base_tsne,feature_store,dataset_id,X21,X21,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d.h5
X21_hubert_base_tsne,feature_store,unit_count,660,660,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d.h5
X21_hubert_base_tsne,feature_store,feature_keys,"cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8","cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,tr_0,tr_10,tr_12,tr_14,tr_16,tr_18,tr_2,tr_20,tr_22,tr_24,tr_4,tr_6,tr_8",pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d.h5
X21_hubert_base_tsne,feature_store,file_fingerprint,not_computed,quick_fingerprint,pass,size=107754880;mtime_ns=1786664487728775300;manifest_sha256=77d3d6714ad6d35513f7b76d63f67dbaaf9a6eccc6e849290ac373f2d7142ff7
X21_hubert_ft_tsne,feature_store,dataset_id,X21,X21,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d_ft.h5
X21_hubert_ft_tsne,feature_store,unit_count,660,660,pass,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\data\features\x21_hubert_full_corpus_tsne_3d_ft.h5
