recording_id,speaker_id,accent,word,source_filename,status,processed_transcript,predicted_transcript,n_ipa_tokens,mean_token_max_posterior,duration_seconds,audio_sha256,error
AN19-rec-42f9635ef1963d09142b,AN19.ENG.ef1,ENG,was,ef1ew01 was.WAV,ok,wɑz,w/ɑ/z,3,0.9686256249745687,0.7662585034013606,2ef5a8cb18897c630894cdddd4882a0b4fbed4c9462c573f7ee60c93f2dbd982,
AN19-rec-35264dd3388b3afc06dd,AN19.ENG.ef1,ENG,down,ef1ew02 down.WAV,ok,tan,t/a/n,3,0.863575299580892,0.6936961451247166,15355d36f4da9cffaa5c98914969982eb129641b8745185e1b91a17910d8a3a3,
AN19-rec-0555ed8b26decd68d6db,AN19.ENG.ef1,ENG,work,ef1ew03 work.wav,ok,wɜ˞k,w/ɜ˞/k,3,0.9528697927792867,0.6820861678004535,131e6fe2442e61972f8d3c26ae4156470fc5b7a83c2ab2fbe1b6e3f32d873373,
AN19-rec-ad3b4d36121fe64f5d46,AN19.ENG.ef1,ENG,long,ef1ew04 long.WAV,ok,lɔ̃ŋ,l/ɔ̃/ŋ,3,0.9973345001538595,0.8910657596371883,418eef150ba4900510f43f072df8c63f13b9e0064a3d3358ec1a13d10627e228,
AN19-rec-858bdf99be07439d3783,AN19.ENG.ef1,ENG,both,ef1ew05 both.WAV,ok,pθ,p/θ,2,0.8089239001274109,0.6008163265306122,98eec2784b4e6dbe6a70c0d96256319e9f868419154d026e4a77f42317de6a5b,
AN19-rec-9d9464a4870d17e5ba67,AN19.ENG.ef1,ENG,thought,ef1ew06 thought.WAV,ok,θɔt,θ/ɔ/t,3,0.9269560774167379,0.7546485260770975,0e54a0a820a3c7b799db34e3959b59fd46959c3eec04d481138ee67819eb9f3b,
AN19-rec-1d4933604c330432deb3,AN19.ENG.ef1,ENG,does,ef1ew07 does.WAV,ok,tʌz,t/ʌ/z,3,0.7926107744375864,0.7343310657596371,cb9aefd99036adfa3f2498e48faed6d49066a64913a3244556f786fc05d45f19,
AN19-rec-d9e0eacdf2ba4e5c24e7,AN19.ENG.ef1,ENG,put,ef1ew08 put.WAV,ok,ʊt,ʊ/t,2,0.8787429630756378,0.5979138321995465,21bd1929cbed02e9e57cb8bad9a58c9270ead454679f924a7328a042b2f2d907,
AN19-rec-0e3887b559ae567640a9,AN19.ENG.ef1,ENG,give,ef1ew09 give.WAV,ok,ɪv,ɪ/v,2,0.8464697599411011,0.6356462585034014,6bc08f230000c9cd79489067871c67c6c39e4aeb91d9f9a9f2eedfdcbf583c63,
AN19-rec-904fa318974f184cf3cf,AN19.ENG.ef1,ENG,young,ef1ew10 young.WAV,ok,jɤŋ,j/ɤ/ŋ,3,0.7511586745580038,0.737233560090703,b5e0f9dc4abc2b464e894fb725e1205be8e37d1221fe310b2e513bed265a2187,
AN19-rec-a7223c84fe3c978bddd0,AN19.ENG.ef1,ENG,thing,ef1ew11 thing.WAV,ok,sɪ̃ŋ,s/ɪ̃/ŋ,3,0.7527618010838827,0.7633560090702948,63fc024071f302079ddcf5e3f9f40ca2bccbba13bbc0db7084db39e85f51216f,
AN19-rec-dfa3f971b717a69fd24d,AN19.ENG.ef1,ENG,peace,ef1ew12 peace.WAV,ok,pʰis,pʰ/i/s,3,0.9558318654696146,0.6588662131519274,b4af9ffcc9cab5980ae0370f79ff32c9b2e6853f1558aa262a0e0e2f5ce0c1ae,
AN19-rec-e9e31e4d2f92d83141bb,AN19.ENG.ef1,ENG,god,ef1ew13 god.WAV,ok,kɑd,k/ɑ/d,3,0.9905769427617391,0.6124263038548753,863a25694cdb4a783a78825d3aa08e249581dfe693ceac61fe5566c8b5365e12,
AN19-rec-0f9a1947cd564d38a76d,AN19.ENG.ef1,ENG,five,ef1ew14 five.WAV,ok,faɪv,f/a/ɪ/v,4,0.9944840669631958,0.8126984126984127,3e9d566c7ec5c2825d8a668d8e08064c0fd5573ea91b438ce82880db5835a207,
AN19-rec-1e4ae66a2ae8b6319884,AN19.ENG.ef1,ENG,gave,ef1ew15 gave.WAV,ok,keɪv,k/e/ɪ/v,4,0.8242284506559372,0.7111111111111111,e2139a6c1924d75f23d9ec93d547ebde4bb8caa4524f5b512393d68de4f82378,
AN19-rec-f40889de21d14c6e22f1,AN19.ENG.ef1,ENG,death,ef1ew16 death.WAV,ok,ɛθ,ɛ/θ,2,0.9980972707271576,0.5834013605442177,bffaaaed4142cd945ed8d3537b9e0d3f4d097b40a462cb060dee0e0cfad9b7a4,
AN19-rec-8ae6aba7d9893aa6607f,AN19.ENG.ef1,ENG,shall,ef1ew17 shall.WAV,ok,ʃæ,ʃ/æ,2,0.9340455532073975,0.8533333333333334,0589ab1f171eb4e5388deb945cd97ffbe75d944e0f3c9521ae0e2aeb94aee160,
AN19-rec-83d327edb6a2f648a9c6,AN19.ENG.ef1,ENG,real,ef1ew18 real.WAV,ok,ɹil̴,ɹ/i/l̴,3,0.9694866140683492,0.5834013605442177,ef04830fd64a1a186764a902e803e55993b5bdad8a2ef194dc2bcf9e8bf7ff05,
AN19-rec-0ad43e2737660fcb4f81,AN19.ENG.ef1,ENG,south,ef1ew19 south.WAV,ok,saʊθ,s/a/ʊ/θ,4,0.9455397129058838,0.8068934240362812,de3808327b9b2e7a4fc1617f478062dcea1708907043679b1aa2fe75827bc5cd,
AN19-rec-a6ec9da84442879dabba,AN19.ENG.ef1,ENG,job,ef1ew20 job.WAV,ok,tʃɑb,t/ʃ/ɑ/b,4,0.8690930306911469,0.6327437641723356,b66df63ef432b52f660c89418174195f4ac82c890de33e7115fd178c6db95eff,
AN19-rec-6427015f1d0b31a6061a,AN19.ENG.ef1,ENG,love,ef1ew21 love.WAV,ok,lʌv,l/ʌ/v,3,0.9612478216489156,0.6530612244897959,34cf6928e0be267bbbb54290679cffaa3bb587a74875f9df486e770f91405a08,
AN19-rec-fa882a645c843457a098,AN19.ENG.ef1,ENG,full,ef1ew22 full.WAV,ok,fɔl,f/ɔ/l,3,0.7384071350097656,0.7894784580498866,ef534f1ca0d7c95566e332863f4734a935b185c13c3ca0eba5e3d6b088712342,
AN19-rec-a2dc7acdf2e03130abcc,AN19.ENG.ef1,ENG,wife,ef1ew23 wife.WAV,ok,waɪf,w/a/ɪ/f,4,0.9726846665143967,0.748843537414966,b6a2b05e2e72d923e334b468ecb79902fe8d546245ccc5dcb718f0fd98e9dcbc,
AN19-rec-92eea74a8d7d89da9b25,AN19.ENG.ef1,ENG,voice,ef1ew24 voice.WAV,ok,vɔɪs,v/ɔ/ɪ/s,4,0.9856446534395218,0.8388208616780045,847fc71871419be9f532592edb8336c98540335845e15999c89d28c879b1e262,
AN19-rec-e85808917c1a7b2313b4,AN19.ENG.ef1,ENG,girl,ef1ew25 girl.WAV,ok,kɜ˞l̴,k/ɜ˞/l̴,3,0.8203056454658508,0.7053061224489796,7119aae672680d143ace60f2ab021631ca058415d995b1b2a21de95ea42d20a6,
AN19-rec-761f706b238fdffb56e5,AN19.ENG.ef1,ENG,live,ef1ew26 live.WAV,ok,laɪv,l/a/ɪ/v,4,0.9389796108007431,0.8039909297052155,337c1ff23a7d5cd16d844ae2c32780efa23492fe0ec9ac030cb84b199fd38f84,
AN19-rec-268bbb56eaabb15fa767,AN19.ENG.ef1,ENG,move,ef1ew27 move.WAV,ok,muv,m/u/v,3,0.8304698268572489,0.7981859410430839,3cc43cd605e563136efb861bdd6d3fbd50fb6934ad5e33655bb690797947d904,
AN19-rec-78f5f3dd941558687ef0,AN19.ENG.ef1,ENG,food,ef1ew28 food.WAV,ok,fud,f/u/d,3,0.9967092275619507,0.8881632653061224,5599aec68c19b6e3c1081ab775463e4f1808e4a375fe427054be9331816a5919,
AN19-rec-eca7f534d637910b5110,AN19.ENG.ef1,ENG,size,ef1ew29 size.WAV,ok,saɪz,s/a/ɪ/z,4,0.9909811317920685,0.9462131519274376,c0b7e7c3f45a140834d622d9a52a76bd2fd900b78fe506cc308b8cd43a02818c,
AN19-rec-d8b16d15ce6c4bbeb98c,AN19.ENG.ef1,ENG,cause,ef1ew30 cause.WAV,ok,kʰɔz,kʰ/ɔ/z,3,0.834807833035787,0.8620408163265306,8976c664aa01353e5b215ddde090d961f8dcd0f21481e0ae13dc8c6f2dc9ffc6,
AN19-rec-7a1a55411dea6c1c5032,AN19.ENG.ef1,ENG,wrong,ef1ew31 wrong.WAV,ok,ɹɔ̃ŋ,ɹ/ɔ̃/ŋ,3,0.9837990403175354,0.8156009070294784,59e0c11c3b79db8d51b99d6d10582aaade74bd2b5f83b063aa3d26a9fe261c9e,
AN19-rec-67bc0ad2156be18169ef,AN19.ENG.ef1,ENG,chief,ef1ew32 chief.WAV,ok,tʰʃif,tʰ/ʃ/i/f,4,0.8740727305412292,0.6646712018140589,c8d76b1bd4674c9f807459decda748e99609c9744c1022da140aecd5ff121bf7,
AN19-rec-50f7945340fcb026c433,AN19.ENG.ef1,ENG,faith,ef1ew33 faith.WAV,ok,feɪθ,f/e/ɪ/θ,4,0.9285949617624283,0.7140136054421768,bb80098dcadc333d68c4ad9194abb7118b7ba8675d6b18dbf0fda36ef7e9762f,
AN19-rec-f40891ffae36f8e9d83e,AN19.ENG.ef1,ENG,pool,ef1ew34 pool.WAV,ok,pʰul̴,pʰ/u/l̴,3,0.7692010700702667,0.5775963718820861,b587d304b614db389107268dc6f8cee0de696083287d1d30482ae8088457fc7b,
AN19-rec-7965b89732242dd4b45c,AN19.ENG.ef1,ENG,deep,ef1ew35 deep.WAV,ok,dip,d/i/p,3,0.7203201353549957,0.5979138321995465,2d167f532ea1f5940234d7175f4da05e8a538de18acabb3b1b3a5312c8ace084,
AN19-rec-f25b9174be1507c8ce31,AN19.ENG.ef1,ENG,firm,ef1ew36 firm.WAV,ok,θɜ˞m,θ/ɜ˞/m,3,0.7558117806911469,0.8823582766439909,f31b3bdd7f48832c2055a29bfc7af9bf30f3c959108320ccaaaf48cc4129122c,
AN19-rec-ad0bf191bb01e16594ac,AN19.ENG.ef1,ENG,serve,ef1ew37 serve.WAV,ok,sə˞v,s/ə˞/v,3,0.8775024811426798,0.9926530612244898,468df4bbf1a0a424350ee8bd3e7727d5811c29cc40501273efbdd9beed5dd20d,
AN19-rec-aaf6924204552a1009eb,AN19.ENG.ef1,ENG,reach,ef1ew38 reach.WAV,ok,ɹitʃ,ɹ/i/t/ʃ,4,0.9363758116960526,0.8533333333333334,0f2247b0ed5f9de33dd9caa8df0042c4b47ac22512d1abefabb0babfae7ca5a1,
AN19-rec-bc6af1792515f99924fc,AN19.ENG.ef1,ENG,mouth,ef1ew39 mouth.WAV,ok,maʊθ,m/a/ʊ/θ,4,0.9600858837366104,0.7894784580498866,f65e19bbe491a5df78c65d855d7ff05dc46d6e1000e716a31b2699744618ed15,
AN19-rec-70a3e29438826cc3e909,AN19.ENG.ef1,ENG,teeth,ef1ew40 teeth.WAV,ok,tʰiθ,tʰ/i/θ,3,0.9663725097974142,0.676281179138322,c9821e0aff7f771037effaab18e0db1e028ef027666ecd9d425f8ffc7248d093,
AN19-rec-991279f9a8c8e801a1d8,AN19.ENG.ef1,ENG,gas,ef1ew41 gas.WAV,ok,kæs,k/æ/s,3,0.9192105333010355,0.7285260770975057,df28e3eaeb8bb348bb29337959305572ff0068178292a176eaa80dc3ef734d4c,
AN19-rec-f501e3555ec6eccf06d2,AN19.ENG.ef1,ENG,jack,ef1ew42 jack.WAV,ok,tʃæk,t/ʃ/æ/k,4,0.8478012830018997,0.7227210884353742,06ec162acfd9a76725370f7f29b54d34f95378c850171f93f0f48f19a4699c08,
AN19-rec-2e6d61f6efb8f1ac5c99,AN19.ENG.ef1,ENG,check,ef1ew43 check.WAV,ok,tʰɛk,tʰ/ɛ/k,3,0.9143920739491781,0.6646712018140589,a60f52970db778cb02c990418712475f9fd473424c8d9a3fd76210374b7c7962,
AN19-rec-ff5004fb42a5113bfdae,AN19.ENG.ef1,ENG,king,ef1ew44 king.WAV,ok,kʰɪ̃ŋ,kʰ/ɪ̃/ŋ,3,0.8489602208137512,0.7024036281179138,a6d29d3d8ee277c1fa5f37cff5114e011df8a85c6047334507f74f650e76fe9e,
