feature_key,condition_id,predictor_status,n_rows
mfcc39,AN19.Control.test_Korean,no_exposure,960
mfcc39,AN19.Control.test_Spanish,no_exposure,960
mfcc39,AN19.Korean.test_Korean,available,950
mfcc39,AN19.Korean.test_Korean,incomplete_source_mapping,10
mfcc39,AN19.Korean.test_Spanish,available,955
mfcc39,AN19.Korean.test_Spanish,incomplete_source_mapping,5
mfcc39,AN19.Mixed.test_Korean,available,940
mfcc39,AN19.Mixed.test_Korean,incomplete_source_mapping,20
mfcc39,AN19.Mixed.test_Spanish,available,940
mfcc39,AN19.Mixed.test_Spanish,incomplete_source_mapping,20
mfcc39,AN19.Spanish.test_Korean,available,950
mfcc39,AN19.Spanish.test_Korean,incomplete_source_mapping,10
mfcc39,AN19.Spanish.test_Spanish,available,950
mfcc39,AN19.Spanish.test_Spanish,incomplete_source_mapping,10
strf24_legacy,AN19.Control.test_Korean,no_exposure,960
strf24_legacy,AN19.Control.test_Spanish,no_exposure,960
strf24_legacy,AN19.Korean.test_Korean,available,950
strf24_legacy,AN19.Korean.test_Korean,incomplete_source_mapping,10
strf24_legacy,AN19.Korean.test_Spanish,available,955
strf24_legacy,AN19.Korean.test_Spanish,incomplete_source_mapping,5
strf24_legacy,AN19.Mixed.test_Korean,available,940
strf24_legacy,AN19.Mixed.test_Korean,incomplete_source_mapping,20
strf24_legacy,AN19.Mixed.test_Spanish,available,940
strf24_legacy,AN19.Mixed.test_Spanish,incomplete_source_mapping,20
strf24_legacy,AN19.Spanish.test_Korean,available,950
strf24_legacy,AN19.Spanish.test_Korean,incomplete_source_mapping,10
strf24_legacy,AN19.Spanish.test_Spanish,available,950
strf24_legacy,AN19.Spanish.test_Spanish,incomplete_source_mapping,10
