dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations
AN19,mfcc39,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,668,True,True,boundary (singular) fit: see help('isSingular'),,,-285.641743298584,325.47897445302,577.283486597168,668
AN19,mfcc39,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,668,True,True,boundary (singular) fit: see help('isSingular'),,,-280.08015807583,330.212896564596,568.160316151659,668
AN19,mfcc39,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-285.826940214685,326.272502736955,577.65388042937,621
AN19,mfcc39,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-278.695564318688,335.509772899052,565.391128637376,621
AN19,mfcc39,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-286.130315860475,328.786073887167,578.260631720951,621
AN19,mfcc39,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-278.221493516363,334.011661387986,564.442987032726,621
AN19,mfcc39,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",nloptwrap,participant_item_talker_intercepts,primary registered structure accepted,955,True,False,ok,,,-392.9421453377,509.632911729688,793.884290675399,955
AN19,mfcc39,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",Nelder_Mead,participant_item_talker_intercepts,primary registered structure accepted,955,True,False,ok,,,-387.11534347734,517.929570469419,784.230686954679,955
AN19,strf24_legacy,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,668,True,True,boundary (singular) fit: see help('isSingular'),,,-285.641743298584,325.47897445302,577.283486597168,668
AN19,strf24_legacy,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",nloptwrap,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,668,True,True,boundary (singular) fit: see help('isSingular'),,,-270.733525321461,321.636959873021,549.467050642922,668
AN19,strf24_legacy,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,621,True,False,ok,,,-285.770008127814,326.159924966044,579.540016255628,621
AN19,strf24_legacy,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,621,True,False,ok,,,-271.269301574422,327.50132422934,552.538603148844,621
AN19,strf24_legacy,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-286.130315860475,328.786073887167,578.260631720951,621
AN19,strf24_legacy,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,621,True,False,ok,,,-274.197968431512,333.262234716869,556.395936863024,621
AN19,strf24_legacy,full,,M_null,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,955,True,False,ok,,,-392.94214131207,509.632022491553,791.884282624139,955
AN19,strf24_legacy,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,955,True,False,ok,,,-379.779843563386,512.193744980746,767.559687126773,955
