dataset_id,feature_key,model_id,formula,optimizer,random_structure,structure_reason,n_rows,total_trials,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
AN19,cnn_3::overall_order_sensitive,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2193.4091440175,3589.74682831656,4408.81828803501,5760,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2201.82177459995,3581.9883836488,4417.64354919989,5760,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2192.37810608186,3591.03154117596,4408.75621216372,5760,AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,base,all_exposure_participants,0.68977851860139,models\AN19-HVE-base-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2193.4091440175,3589.74682831656,4408.81828803501,5760,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2201.82177459995,3581.9883836488,4417.64354919989,5760,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,cnn_3::overall_order_sensitive,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5760,5760,True,False,ok,,,-2192.37810608186,3591.03154117596,4408.75621216372,5760,AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive,HVE,ft,all_exposure_participants,0.68977851860139,models\AN19-HVE-ft-all-exposure-participants-cnn-3--overall-order-sensitive
AN19,tr_10,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,5685,5685,True,False,ok,,,-2154.29926655332,3513.75134243751,4328.59853310664,5685,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,M_predictor,"cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,5685,5685,True,False,ok,,,-2154.98440622609,3518.43093227771,4321.96881245218,5685,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts,talker random-intercept candidate was singular or failed convergence,5685,5685,True,False,ok,,,-2145.70441880981,3525.90758238046,4313.40883761963,5685,AN19-SBI-base-tr-10,SBI,base,selected_hubert_layer,0.619244977645451,models\AN19-SBI-base-tr-10
AN19,tr_10,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",bobyqa,participant_item_talker_intercepts,primary registered structure accepted,5685,5685,True,False,ok,,,-2154.24972969189,3513.80715542069,4330.49945938377,5685,AN19-SBI-ft-tr-10,SBI,ft,selected_hubert_layer,0.636032774020209,models\AN19-SBI-ft-tr-10
