dataset_id,feature_key,scope,fold,model_id,formula,optimizer,random_structure,random_policy,selection_reason,n_rows,fit_ok,singular,convergence,warnings,error,log_likelihood,deviance,AIC,n_observations
B23,tr_24::between_type_phoneme,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,tr_24::between_type_phoneme,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,tr_24::between_type_phoneme,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10014.6190748752,12954.498051959,20041.2381497505,6720
B23,tr_24::between_type_phoneme,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10012.2844535919,12954.7948109455,20038.5689071838,6720
B23,tr_24::between_type_phoneme,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.9241196589,12944.9126259722,20077.8482393178,6720
B23,tr_24::between_type_phoneme,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10022.1950149143,12945.2475857601,20072.3900298286,6720
B23,tr_24::between_type_phoneme,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.690701747,12944.7009765856,20067.381403494,6720
B23,tr_24::between_type_phoneme,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.3830854397,12944.7589079848,20068.7661708794,6720
B23,tr_24::between_type_phoneme,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.18402903672,12379.6571999991,19600.3680580734,6720
B23,tr_24::between_type_phoneme,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9783.92403226251,12379.9207380317,19595.848064525,6720
B23,tr_24::between_type_phoneme,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9789.58392519132,12379.3624079354,19591.1678503826,6720
B23,tr_24::between_type_phoneme,cv_train,2.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9789.21189109577,12379.4142537227,19592.4237821915,6720
B23,tr_24::between_type_phoneme,full,,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14865.9052356625,19186.7035750233,29757.8104713249,10080
B23,tr_24::between_type_phoneme,full,,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14861.8484078622,19187.0850229451,29751.6968157244,10080
B23,tr_24::between_type_phoneme,full,,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14869.3823319577,19186.2954391282,29750.7646639153,10080
B23,tr_24::between_type_phoneme,full,,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,10080,True,False,ok,,,-14868.2468891504,19186.4551538017,29750.4937783008,10080
B23,tr_24::between_type_sentence,cv_train,0.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,tr_24::between_type_sentence,cv_train,0.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10008.8420184872,12955.155184219,20043.6840369744,6720
B23,tr_24::between_type_sentence,cv_train,0.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10014.6190748752,12954.498051959,20041.2381497505,6720
B23,tr_24::between_type_sentence,cv_train,0.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10013.996666826,12954.5617425093,20041.993333652,6720
B23,tr_24::between_type_sentence,cv_train,1.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10025.9241196589,12944.9126259722,20077.8482393178,6720
B23,tr_24::between_type_sentence,cv_train,1.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10022.1951562024,12945.2485915133,20072.3903124049,6720
B23,tr_24::between_type_sentence,cv_train,1.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.690701747,12944.7009765856,20067.381403494,6720
B23,tr_24::between_type_sentence,cv_train,1.0,M_predictor,"cbind(response_correct, response_incorrect) ~ variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-10027.5908851863,12944.7135816146,20069.1817703726,6720
B23,tr_24::between_type_sentence,cv_train,2.0,M_condition,"cbind(response_correct, response_incorrect) ~ condition_id + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9787.18402903672,12379.6571999991,19600.3680580734,6720
B23,tr_24::between_type_sentence,cv_train,2.0,M_joint,"cbind(response_correct, response_incorrect) ~ condition_id + variability_z + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9783.92415671711,12379.9216350789,19595.8483134342,6720
B23,tr_24::between_type_sentence,cv_train,2.0,M_null,"cbind(response_correct, response_incorrect) ~ test_talker_id + (1 | participant_id) + (1 | analysis_item_id)",bobyqa,participant_item_intercepts_with_fixed_talker_block,registered,primary registered structure accepted,6720,True,False,ok,,,-9789.58392519132,12379.3624079354,19591.1678503826,6720
